tokenized_text,no_stopwords
"['kaspro', 'nya', 'payah', 'masak', 'cuma', 'di', 'isi', 'tapi', 'nggak', 'pernah', 'di', 'pakai', 'ke', 'potong', 'saldonya', 'bahkan', 'belum', 'cukup', 'sebulan', 'di', 'isinya', 'ini', 'biaya', 'perminggu', 'atau', 'gimana', 'mana', 'nggak', 'ada', 'pemberitahuan', 'kalau', 'saldonya', 'kepotong', 'itu', 'namanya', 'nggak', 'kooperatif', 'masa', 'iya', 'buat', 'layanan', 'tapi', 'nggak', 'ada', 'transparansi', 'rugi', 'juga', 'isinya', 'karena', 'nggak', 'semua', 'driver', 'bisa', 'pakai', 'kaspro', 'niat', 'mau', 'cashless', 'malah', 'harus', 'tunai', 'lagi', 'di', 'layanannya', 'nggak', 'di', 'pilihin', 'pengemudi', 'yang', 'bisa', 'pakai', 'kaspro', 'asal', 'comot', 'aja', 'kesel', 'pakai', 'aplikasi', 'ini']","['kaspro', 'nya', 'payah', 'masak', 'cuma', 'isi', 'pernah', 'pakai', 'potong', 'saldonya', 'bahkan', 'cukup', 'sebulan', 'isinya', 'biaya', 'perminggu', 'gimana', 'mana', 'pemberitahuan', 'kalau', 'saldonya', 'kepotong', 'namanya', 'kooperatif', 'masa', 'iya', 'buat', 'layanan', 'transparansi', 'rugi', 'isinya', 'semua', 'driver', 'pakai', 'kaspro', 'niat', 'mau', 'cashless', 'malah', 'tunai', 'layanannya', 'pilihin', 'pengemudi', 'pakai', 'kaspro', 'asal', 'comot', 'aja', 'kesel', 'pakai', 'aplikasi']"
"['kenapa', 'kalo', 'nyari', 'lokasi', 'di', 'maxim', 'gak', 'keliatan', 'ya', 'alamatnya', 'kurang', 'lengkap', 'lokasi', 'dimaxim']","['kalo', 'nyari', 'lokasi', 'maxim', 'gak', 'keliatan', 'alamatnya', 'kurang', 'lengkap', 'lokasi', 'dimaxim']"
"['pengemudi', 'nya', 'macam', 'pepek', 'semua', 'ngambil', 'orderan', 'tapi', 'gak', 'gerak', 'udah', 'menit', 'lebih', 'org', 'nunggu', 'tak', 'bergerak', 'juga', 'jadi', 'lambat', 'org', 'mau', 'kerja', 'ajg']","['pengemudi', 'nya', 'macam', 'pepek', 'semua', 'ngambil', 'orderan', 'gak', 'gerak', 'udah', 'menit', 'lebih', 'org', 'nunggu', 'tak', 'bergerak', 'jadi', 'lambat', 'org', 'mau', 'kerja', 'ajg']"
"['aplikasi', 'kaga', 'jelasbikin', 'rugi', 'penggunaorder', 'ke', 'mana', 'datangnya', 'kemana', 'kocak']","['aplikasi', 'kaga', 'jelasbikin', 'rugi', 'penggunaorder', 'mana', 'datangnya', 'kocak']"
"['sangat', 'baik']","['sangat', 'baik']"
"['dana', 'kaspro', 'gak', 'di', 'kembalikan', 'parah', 'ud', 'x', 'aplly', 'permasalahan', 'pembayaran', 'balasan', 'selalu', 'sama', 'pret', 'dah', 'kapok', 'pake', 'kaspro', 'stop', 'dulu', 'd', 'pakai', 'ni', 'app', 'padahal', 'tiap', 'hari', 'pergi', 'pulang', 'kerja', 'pake', 'app', 'ni']","['dana', 'kaspro', 'gak', 'kembalikan', 'parah', 'ud', 'x', 'aplly', 'permasalahan', 'pembayaran', 'balasan', 'selalu', 'sama', 'pret', 'dah', 'kapok', 'pake', 'kaspro', 'stop', 'dulu', 'd', 'pakai', 'ni', 'app', 'padahal', 'tiap', 'hari', 'pergi', 'pulang', 'kerja', 'pake', 'app', 'ni']"
"['ga', 'bisa', 'batalin', 'pesanan']","['ga', 'batalin', 'pesanan']"
"['pelayanan', 'nya', 'kurang', 'baik', 'selalu', 'maksa', 'untuk', 'kasih', 'bintang', 'lima', 'sedangkan', 'pengemudinya', 'balapbalap', 'nga', 'sadar', 'ada', 'penumpang', 'di', 'belakang', 'trus', 'ada', 'beberapa', 'pengemudi', 'buta', 'baca', 'maps', 'masih', 'tanyakan', 'di', 'bagian', 'mana', 'sedangkan', 'di', 'maxim', 'nya', 'langsung', 'tertera', 'maps', 'belum', 'lagi', 'di', 'food', 'maxim', 'selalu', 'nya', 'loding', 'tidak', 'bisa', 'buat', 'memesan', 'sedangkan', 'jaringan', 'bagus', 'keluar', 'masuk', 'aplikasi', 'masih', 'tetap', 'tidak', 'bisa', 'di', 'buka', 'eror', 'terus', 'food', 'maxim', 'nya']","['pelayanan', 'nya', 'kurang', 'baik', 'selalu', 'maksa', 'kasih', 'bintang', 'lima', 'pengemudinya', 'balapbalap', 'nga', 'sadar', 'penumpang', 'belakang', 'trus', 'beberapa', 'pengemudi', 'buta', 'baca', 'maps', 'tanyakan', 'bagian', 'mana', 'maxim', 'nya', 'langsung', 'tertera', 'maps', 'food', 'maxim', 'selalu', 'nya', 'loding', 'buat', 'memesan', 'jaringan', 'bagus', 'keluar', 'masuk', 'aplikasi', 'tetap', 'buka', 'eror', 'terus', 'food', 'maxim', 'nya']"
"['bintang', 'satu', 'mas', 'mas', 'nya', 'gatall']","['bintang', 'satu', 'mas', 'mas', 'nya', 'gatall']"
"['tolong', 'maxim', 'ini', 'gmn', 'mau', 'pesen', 'gak', 'bisa', 'karena', 'gak', 'login', 'gmn', 'mau', 'login', 'kalau', 'minta', 'kode', 'konfirmasi', 'tapi', 'gak', 'ada', 'sms', 'ganti', 'jadi', 'tlp', 'di', 'tunggu', 'jam', 'gak', 'ada', 'yang', 'tlp', 'operator', 'nya', 'ada', 'gak', 'si', 'tolong', 'lah', 'ini', 'perbaiki', 'udah', 'gk', 'pernah', 'di', 'perbaiki', 'keknya', 'udh', 'lama', 'masih', 'sama', 'aja']","['maxim', 'gmn', 'mau', 'pesen', 'gak', 'gak', 'login', 'gmn', 'mau', 'login', 'kalau', 'minta', 'kode', 'konfirmasi', 'gak', 'sms', 'ganti', 'jadi', 'tlp', 'tunggu', 'jam', 'gak', 'tlp', 'operator', 'nya', 'gak', 'si', 'lah', 'perbaiki', 'udah', 'gk', 'pernah', 'perbaiki', 'keknya', 'udh', 'lama', 'sama', 'aja']"
"['pembayaran', 'metode', 'maxim', 'wallet', 'nya', 'gak', 'bisa', 'digunakan', 'mana', 'aku', 'udah', 'ngisi', 'saldo', 'masuknya', 'cuma', 'kalo', 'tau', 'gak', 'bisa', 'digunain', 'gak', 'ngisi', 'saldo', 'aku', 'uang', 'akuuuu']","['pembayaran', 'metode', 'maxim', 'wallet', 'nya', 'gak', 'digunakan', 'mana', 'aku', 'udah', 'ngisi', 'saldo', 'masuknya', 'cuma', 'kalo', 'tau', 'gak', 'digunain', 'gak', 'ngisi', 'saldo', 'aku', 'uang', 'akuuuu']"
"['kok', 'saya', 'gak', 'bisa', 'pake', 'maxim', 'ada', 'apa', 'ya', 'udh', 'kali', 'minta', 'kode', 'untuk', 'masuk', 'ke', 'maxim', 'gak', 'bisa', 'udah', 'coba', 'pake', 'no', 'yang', 'berbeda', 'tidak', 'bisa', 'ini', 'maxim', 'kenapa', 'ya', 'padhal', 'saya', 'dari', 'gojek', 'beralih', 'ke', 'maxim', 'agar', 'lebih', 'murah', 'tapi', 'saya', 'sendiri', 'tidak', 'bisa', 'menggunajan', 'maxim', 'kn', 'aneh']","['kok', 'gak', 'pake', 'maxim', 'apa', 'udh', 'kali', 'minta', 'kode', 'masuk', 'maxim', 'gak', 'udah', 'coba', 'pake', 'no', 'berbeda', 'maxim', 'padhal', 'gojek', 'beralih', 'maxim', 'lebih', 'murah', 'sendiri', 'menggunajan', 'maxim', 'kn', 'aneh']"
"['udah', 'seminggu', 'daftar', 'seminggu', 'juga', 'di', 'buka', 'mantengin', 'orderan', 'tapi', 'belum', 'satupun', 'dikasih', 'orderan']","['udah', 'seminggu', 'daftar', 'seminggu', 'buka', 'mantengin', 'orderan', 'satupun', 'dikasih', 'orderan']"
"['maxim', 'tolol', 'w', 'drtdi', 'daftar', 'gagal', 'truss']","['maxim', 'tolol', 'w', 'drtdi', 'daftar', 'gagal', 'truss']"
"['lebih', 'murah', 'dari', 'semua', 'apk', 'yg', 'lain', 'tapi', 'ada', 'aja', 'yg', 'bikin', 'kecewa', 'kali', 'loh', 'saya', 'kena', 'curang', 'harga', 'di', 'apk', 'penumpang', 'sama', 'driver', 'selalu', 'beda', 'di', 'apk', 'penumpang', 'kita', 'dapet', 'promo', 'tapi', 'di', 'driver', 'tidak', 'dan', 'yang', 'terakhir', 'driver', 'tidak', 'jujur', 'masalah', 'harga', 'tarif', 'ribu', 'di', 'hp', 'driver', 'juga', 'ribu', 'tapi', 'driver', 'tidak', 'jujur', 'karena', 'tidak', 'mau', 'kasih', 'rate', 'buruk', 'ke', 'driver', 'saya', 'ikhlaskan', 'saja', 'tolong', 'lah', 'di', 'perbaiki', 'lagi']","['lebih', 'murah', 'semua', 'apk', 'yg', 'aja', 'yg', 'bikin', 'kecewa', 'kali', 'loh', 'kena', 'curang', 'harga', 'apk', 'penumpang', 'sama', 'driver', 'selalu', 'beda', 'apk', 'penumpang', 'dapet', 'promo', 'driver', 'terakhir', 'driver', 'jujur', 'masalah', 'harga', 'tarif', 'ribu', 'hp', 'driver', 'ribu', 'driver', 'jujur', 'mau', 'kasih', 'rate', 'buruk', 'driver', 'ikhlaskan', 'lah', 'perbaiki']"
"['murah', 'meriah', 'tapi', 'satu', 'kali', 'perjalanan', 'aja', 'mendapatkan', 'drivernya', 'menit']","['murah', 'meriah', 'satu', 'kali', 'perjalanan', 'aja', 'mendapatkan', 'drivernya', 'menit']"
"['tolong', 'di', 'perbaiki', 'mapsnya', 'untuk', 'pebcarian', 'lokasi']","['perbaiki', 'mapsnya', 'pebcarian', 'lokasi']"
"['pengalaman', 'buruk', 'banget', 'pas', 'sore', 'ini', 'driver', 'maxim', 'bawa', 'kabur', 'dagangan', 'saya', 'dan', 'gak', 'ada', 'tanggapan', 'dari', 'pihak', 'maxim', 'ini', 'bagai', 'mana', 'perusahaan', 'jas', 'transportasi', 'tapi', 'tidak', 'tanggap', 'dan', 'cepat', 'dalam', 'melayani', 'complain', 'customer']","['pengalaman', 'buruk', 'banget', 'pas', 'sore', 'driver', 'maxim', 'bawa', 'kabur', 'dagangan', 'gak', 'tanggapan', 'pihak', 'maxim', 'bagai', 'mana', 'perusahaan', 'jas', 'transportasi', 'tanggap', 'cepat', 'melayani', 'complain', 'customer']"
"['driver', 'maxim', 'ngk', 'ada', 'yang', 'mau', 'ambil', 'orderan', 'kalau', 'hujan', 'drivernya', 'pada', 'egois', 'maunya', 'pas', 'hari', 'cerah', 'aja', 'kecewa', 'sm', 'maxim']","['driver', 'maxim', 'ngk', 'mau', 'ambil', 'orderan', 'kalau', 'hujan', 'drivernya', 'egois', 'maunya', 'pas', 'hari', 'cerah', 'aja', 'kecewa', 'sm', 'maxim']"
['baik'],['baik']
"['udah', 'top', 'up', 'buat', 'wallet', 'maxim', 'malah', 'rata', 'rata', 'tunai', 'repot', 'mana', 'uang', 'nya', 'gabisa', 'balik', 'apl', 'jelek']","['udah', 'top', 'up', 'buat', 'wallet', 'maxim', 'malah', 'rata', 'rata', 'tunai', 'repot', 'mana', 'uang', 'nya', 'gabisa', 'balik', 'apl', 'jelek']"
"['tolong', 'maps', 'nya', 'dibenahititik', 'maps', 'selalu', 'rumit', 'selalu', 'tidak', 'tepat']","['maps', 'nya', 'dibenahititik', 'maps', 'selalu', 'rumit', 'selalu', 'tepat']"
"['sebelum', 'nya', 'saya', 'sangat', 'suka', 'dengan', 'maxim', 'tapi', 'untuk', 'mobil', 'kebanyakan', 'supir', 'nya', 'kurang', 'ramah', 'jadi', 'saya', 'agak', 'tidak', 'nyaman', 'terus', 'tarif', 'nya', 'suka', 'ditambah']","['nya', 'sangat', 'suka', 'maxim', 'mobil', 'kebanyakan', 'supir', 'nya', 'kurang', 'ramah', 'jadi', 'nyaman', 'terus', 'tarif', 'nya', 'suka', 'ditambah']"
"['kadang', 'error', 'ojek', 'lama', 'nyampe', 'trus', 'ga', 'bales', 'chat']","['kadang', 'error', 'ojek', 'lama', 'nyampe', 'trus', 'ga', 'bales', 'chat']"
"['driver', 'sering', 'nyalahkan', 'customerkrna', 'soal', 'mutar', 'jauhorderan', 'di', 'terima', 'tapi', 'ngk', 'jalanada', 'juga', 'driver', 'yang', 'mau', 'maki', 'maki', 'dengan', 'kata', 'kotor', 'dan', 'kasar', 'ke', 'customer', 'titik', 'di', 'maps', 'pun', 'kadang', 'buat', 'bingung', 'itu', 'terakhir', 'saya', 'gunakan', 'aplikasi', 'ini', 'mohon', 'di', 'perbaiki', 'min', 'kualitas', 'sdm', 'drivernyasangat', 'miriscukup', 'sekali', 'saja', 'saya', 'buat', 'pengaduan', 'ke', 'kantor', 'langsung', 'yang', 'berada', 'di', 'kota', 'medan']","['driver', 'sering', 'nyalahkan', 'customerkrna', 'soal', 'mutar', 'jauhorderan', 'terima', 'ngk', 'jalanada', 'driver', 'mau', 'maki', 'maki', 'kata', 'kotor', 'kasar', 'customer', 'titik', 'maps', 'kadang', 'buat', 'bingung', 'terakhir', 'gunakan', 'aplikasi', 'mohon', 'perbaiki', 'min', 'kualitas', 'sdm', 'drivernyasangat', 'miriscukup', 'sekali', 'buat', 'pengaduan', 'kantor', 'langsung', 'berada', 'kota', 'medan']"
"['bisa', 'ngga', 'sih', 'kalo', 'driver', 'gausah', 'nanya', 'hal', 'hal', 'pribadi', 'apalagi', 'sampai', 'nge', 'godain', 'orang', 'najis', 'banget']","['ngga', 'sih', 'kalo', 'driver', 'gausah', 'nanya', 'pribadi', 'nge', 'godain', 'orang', 'najis', 'banget']"
"['gk', 'bsa', 'login', 'gk', 'bsa', 'pesan', 'gk', 'bisa', 'apapun', 'pdhal', 'hrganya', 'terjangkau', 'tpi', 'klo', 'super', 'ribet', 'gini', 'susah', 'jdnya', 'nunggu', 'perifikasi', 'nmr', 'aj', 'berjam', 'gk', 'dikirm', 'pdhal', 'mau', 'dpt', 'trpaksa', 'pindah', 'ke', 'sbelah', 'disebalh', 'gk', 'ad', 'logind', 'apalah', 'namanya', 'tgl', 'msuk', 'pesan', 'beres']","['gk', 'bsa', 'login', 'gk', 'bsa', 'pesan', 'gk', 'apapun', 'pdhal', 'hrganya', 'terjangkau', 'tpi', 'klo', 'super', 'ribet', 'gini', 'susah', 'jdnya', 'nunggu', 'perifikasi', 'nmr', 'aj', 'berjam', 'gk', 'dikirm', 'pdhal', 'mau', 'dpt', 'trpaksa', 'pindah', 'sbelah', 'disebalh', 'gk', 'ad', 'logind', 'apalah', 'namanya', 'tgl', 'msuk', 'pesan', 'beres']"
"['saya', 'kecewa', 'dengan', 'aplikasi', 'ini', 'walaupun', 'lebih', 'murah', 'dri', 'apk', 'yg', 'lain', 'tpi', 'untuk', 'orderannya', 'sangat', 'lama', 'sebelumnya', 'sudah', 'saya', 'pesan', 'orderan', 'sudah', 'mnt', 'lebih', 'saya', 'menunggu', 'tpi', 'masih', 'menyeleksi', 'pengemudi', 'juga', 'alhasil', 'saya', 'jadi', 'telat', 'ke', 'sekolah']","['kecewa', 'aplikasi', 'walaupun', 'lebih', 'murah', 'dri', 'apk', 'yg', 'tpi', 'orderannya', 'sangat', 'lama', 'sebelumnya', 'pesan', 'orderan', 'mnt', 'lebih', 'menunggu', 'tpi', 'menyeleksi', 'pengemudi', 'alhasil', 'jadi', 'telat', 'sekolah']"
"['di', 'indonesia', 'cuma', 'vendor', 'aplikasi', 'tetep', 'punya', 'orang', 'rusia', 'jualan', 'atribut', 'modal', 'jaket', 'di', 'konveksi', 'ga', 'sampe', 'rbmau', 'jadi', 'prioritas', 'ga', 'hahaha']","['indonesia', 'cuma', 'vendor', 'aplikasi', 'tetep', 'punya', 'orang', 'rusia', 'jualan', 'atribut', 'modal', 'jaket', 'konveksi', 'ga', 'sampe', 'rbmau', 'jadi', 'prioritas', 'ga', 'hahaha']"
"['kode', 'nya', 'oi', 'kode', 'sumpah', 'ini', 'aplikasi', 'dri', 'kmren', 'kode', 'ngk', 'ada', 'di', 'krim']","['kode', 'nya', 'oi', 'kode', 'sumpah', 'aplikasi', 'dri', 'kmren', 'kode', 'ngk', 'krim']"
"['aplikasi', 'nggak', 'guna']",['aplikasi']
"['aplikasi', 'gaje', 'drivernya', 'minta', 'lebih', 'pdhl', 'harganya', 'sudah', 'ada', 'mana', 'gk', 'ngotak', 'mintanya', 'banyak', 'bat']","['aplikasi', 'gaje', 'drivernya', 'minta', 'lebih', 'pdhl', 'harganya', 'mana', 'gk', 'ngotak', 'mintanya', 'banyak', 'bat']"
['namun'],[]
"['mohon', 'bantuan', 'dan', 'atensinya', 'saya', 'sudah', 'memasukan', 'nomor', 'hape', 'saya', 'tapi', 'tidak', 'ada', 'sms', 'kode', 'otp', 'dari', 'maxim', 'yang', 'masuk']","['mohon', 'bantuan', 'atensinya', 'memasukan', 'nomor', 'hape', 'sms', 'kode', 'otp', 'maxim', 'masuk']"
"['aplikasi', 'jualan', 'atribut', 'berkedok', 'transportasi', 'online', 'driver', 'sudah', 'membludak', 'masih', 'aja', 'nerima', 'pendaftaran', 'ya', 'karena', 'aplikasi', 'ini', 'tujuannya', 'jualan', 'atribut', 'jakethelm', 'sangat', 'tidak', 'berprikemanusiaan']","['aplikasi', 'jualan', 'atribut', 'berkedok', 'transportasi', 'online', 'driver', 'membludak', 'aja', 'nerima', 'pendaftaran', 'aplikasi', 'tujuannya', 'jualan', 'atribut', 'jakethelm', 'sangat', 'berprikemanusiaan']"
"['mau', 'tnya', 'emang', 'boleh', 'driver', 'naikin', 'harga', 'dari', 'ke', 'tpi', 'mintanya', 'hnya', 'karna', 'lewat', 'jalur', 'lain', 'plus', 'ada', 'anak', 'balita', 'kira', 'itu', 'gimana', 'yah', 'pengaturannya']","['mau', 'tnya', 'emang', 'driver', 'naikin', 'harga', 'tpi', 'mintanya', 'hnya', 'karna', 'lewat', 'jalur', 'plus', 'anak', 'balita', 'kira', 'gimana', 'yah', 'pengaturannya']"
"['ga', 'jls', 'orderan', 'rb', 'aja', 'gada', 'yg', 'mau', 'ambil', 'drivernya', 'udh', 'pada', 'kaya', 'kali', 'ya']","['ga', 'jls', 'orderan', 'rb', 'aja', 'gada', 'yg', 'mau', 'ambil', 'drivernya', 'udh', 'kaya', 'kali']"
"['tidak', 'ada', 'nomor', 'call', 'center', 'utk', 'aduan']","['nomor', 'call', 'center', 'utk', 'aduan']"
"['sumpah', 'gak', 'supan', 'banget', 'drivernya']","['sumpah', 'gak', 'supan', 'banget', 'drivernya']"
"['aneh', 'banget', 'cuman', 'order', 'satu', 'malah', 'dua', 'yang', 'dapat', 'perbaikin', 'dong', 'saya', 'jadi', 'pusing', 'kalo', 'ada', 'dua', 'yang', 'keorder']","['aneh', 'banget', 'cuman', 'order', 'satu', 'malah', 'perbaikin', 'dong', 'jadi', 'pusing', 'kalo', 'keorder']"
"['maaf', 'sya', 'kasi', 'reting', 'karna', 'dari', 'semua', 'drivermeminta', 'bayaran', 'lebihatau', 'tidak', 'sesuai', 'dengan', 'aplikasi', 'dan', 'kemaren', 'saya', 'naik', 'maxim', 'motor', 'di', 'aplikasi', 'udah', 'pas', 'tiba', 'sampai', 'rumah', 'drivernya', 'minta']","['maaf', 'sya', 'kasi', 'reting', 'karna', 'semua', 'drivermeminta', 'bayaran', 'lebihatau', 'sesuai', 'aplikasi', 'kemaren', 'naik', 'maxim', 'motor', 'aplikasi', 'udah', 'pas', 'tiba', 'rumah', 'drivernya', 'minta']"
"['sangat', 'nyaman']","['sangat', 'nyaman']"
"['saya', 'mau', 'edit', 'titik', 'jemput', 'dan', 'tujuantp', 'aplikasi', 'sudh', 'mencari', 'driversudah', 'saya', 'canceltapi', 'aplikasi', 'masih', 'terus', 'jalantolong', 'jangan', 'terlalu', 'sensitif', 'aplikasinya']","['mau', 'edit', 'titik', 'jemput', 'tujuantp', 'aplikasi', 'sudh', 'mencari', 'driversudah', 'canceltapi', 'aplikasi', 'terus', 'jalantolong', 'jangan', 'terlalu', 'sensitif', 'aplikasinya']"
['lambat'],['lambat']
"['m', 'indra', 'sakti', 'lubis', 'dengan', 'daihatsu', 'ayla', 'warna', 'putih', 'nopol', 'bdoq', 'bnr', 'bnr', 'kesel', 'bgt', 'sm', 'org', 'ini', 'udh', 'dikit', 'lagi', 'sampe', 'tujuan', 'malah', 'dicancel', 'dgn', 'alasan', 'jalan', 'arah', 'rmh', 'saya', 'gbsa', 'msk', 'mobil', 'mana', 'kondisinya', 'saya', 'lagi', 'buru', 'buru', 'akhirnya', 'saya', 'ketinggalan', 'kereta', 'buat', 'pulang', 'kampung', 'tolong', 'ya', 'pihak', 'maxim', 'untuk', 'org', 'seperti', 'ini', 'menyusahkan']","['m', 'indra', 'sakti', 'lubis', 'daihatsu', 'ayla', 'warna', 'putih', 'nopol', 'bdoq', 'bnr', 'bnr', 'kesel', 'bgt', 'sm', 'org', 'udh', 'dikit', 'sampe', 'tujuan', 'malah', 'dicancel', 'dgn', 'alasan', 'jalan', 'arah', 'rmh', 'gbsa', 'msk', 'mobil', 'mana', 'kondisinya', 'buru', 'buru', 'akhirnya', 'ketinggalan', 'kereta', 'buat', 'pulang', 'kampung', 'pihak', 'maxim', 'org', 'menyusahkan']"
"['udah', 'pakai', 'vocer', 'diskon', 'tapi', 'harga', 'bayar', 'kok', 'tetap', 'sama', 'ngapain', 'buat', 'voucher', 'kalau', 'kek', 'gitu']","['udah', 'pakai', 'vocer', 'diskon', 'harga', 'bayar', 'kok', 'tetap', 'sama', 'ngapain', 'buat', 'voucher', 'kalau', 'kek', 'gitu']"
"['kami', 'beli', 'dan', 'antar', 'kata', 'bapak', 'kau', 'layanan', 'aneh', 'ini', 'dasar', 'ongkos', 'murah', 'persaingan', 'tak', 'sehat', 'kau']","['beli', 'antar', 'kata', 'bapak', 'kau', 'layanan', 'aneh', 'dasar', 'ongkos', 'murah', 'persaingan', 'tak', 'sehat', 'kau']"
"['saya', 'pesan', 'delivery', 'maxim', 'dan', 'itu', 'sudah', 'dapat', 'drivernya', 'paket', 'saya', 'juga', 'di', 'ambil', 'tapi', 'setelah', 'itu', 'saya', 'tidak', 'tau', 'kenapa', 'tiba', 'riwayat', 'order', 'saya', 'tidak', 'kelihatan', 'dan', 'paket', 'saya', 'tidak', 'sampai', 'sama', 'pelanggan', 'saya', 'padahal', 'paket', 'saya', 'sudah', 'di', 'bawa', 'jalan', 'sama', 'kurira', 'ini', 'bagaimana', 'ia', 'solusinya', 'barang', 'saya', 'hilang', 'untung', 'saya', 'sudah', 'screenshot', 'drivernya']","['pesan', 'delivery', 'maxim', 'drivernya', 'paket', 'ambil', 'tau', 'tiba', 'riwayat', 'order', 'kelihatan', 'paket', 'sama', 'pelanggan', 'padahal', 'paket', 'bawa', 'jalan', 'sama', 'kurira', 'bagaimana', 'solusinya', 'barang', 'hilang', 'untung', 'screenshot', 'drivernya']"
"['tlg', 'diperbaiki', 'maps', 'gak', 'sinkron', 'jd', 'susah', 'klo', 'mau', 'order']","['tlg', 'diperbaiki', 'maps', 'gak', 'sinkron', 'jd', 'susah', 'klo', 'mau', 'order']"
"['kenapa', 'aku', 'gak', 'bisa', 'menerima', 'kode', 'verif', 'nya']","['aku', 'gak', 'menerima', 'kode', 'verif', 'nya']"
"['apaan', 'bngt', 'maxim', 'cewe', 'orng', 'di', 'bawa', 'gak', 'sesuai', 'alamat', 'malah', 'cabul', 'sama', 'orang', 'tutup', 'aja', 'ni', 'apk', 'kacau']","['apaan', 'bngt', 'maxim', 'cewe', 'orng', 'bawa', 'gak', 'sesuai', 'alamat', 'malah', 'cabul', 'sama', 'orang', 'tutup', 'aja', 'ni', 'apk', 'kacau']"
"['harga', 'kargo', 'kadang', 'berubah', 'tiba']","['harga', 'kargo', 'kadang', 'berubah', 'tiba']"
"['kenapa', 'top', 'up', 'kaspro', 'tp', 'gamasuk', 'tolong', 'dibantu', 'dong', 'aplikasinya', 'kok', 'gini', 'banget']","['top', 'up', 'kaspro', 'tp', 'gamasuk', 'dibantu', 'dong', 'aplikasinya', 'kok', 'gini', 'banget']"
"['aplikasi', 'yang', 'menguji', 'kesabaran', 'tiba', 'tiba', 'keluar', 'sendiri', 'dari', 'akun', 'minta', 'kode', 'akses', 'gak', 'masuk', 'masuk', 'haduh']","['aplikasi', 'menguji', 'kesabaran', 'tiba', 'tiba', 'keluar', 'sendiri', 'akun', 'minta', 'kode', 'akses', 'gak', 'masuk', 'masuk', 'haduh']"
"['aplikasi', 'taii', 'mau', 'top', 'dana', 'duitnya', 'ga', 'masukk', 'masuk', 'ga', 'jelasss']","['aplikasi', 'taii', 'mau', 'top', 'dana', 'duitnya', 'ga', 'masukk', 'masuk', 'ga', 'jelasss']"
"['ngak', 'sesuai']","['ngak', 'sesuai']"
"['lama', 'banget', 'nungguin', 'driver', 'yang', 'mau']","['lama', 'banget', 'nungguin', 'driver', 'mau']"
"['saya', 'kepencet', 'pesan', 'makanan', 'tidak', 'bisa', 'dibatalkan']","['kepencet', 'pesan', 'makanan', 'dibatalkan']"
"['parah', 'bayar', 'pake', 'wallet', 'udh', 'di', 'isi', 'saldonya', 'gak', 'bisa', 'di', 'pakai']","['parah', 'bayar', 'pake', 'wallet', 'udh', 'isi', 'saldonya', 'gak', 'pakai']"
['bad'],['bad']
"['ini', 'maxim', 'error', 'apa', 'gimanasaya', 'gak', 'ada', 'order', 'tibatiba', 'ada', 'masuk', 'chat', 'dari', 'driver', 'saya', 'orderperbaiki', 'gi', 'deh', 'bug', 'nya']","['maxim', 'error', 'apa', 'gimanasaya', 'gak', 'order', 'tibatiba', 'masuk', 'chat', 'driver', 'orderperbaiki', 'gi', 'deh', 'bug', 'nya']"
"['sangat', 'ramah']","['sangat', 'ramah']"
"['jangan', 'instal', 'apk', 'nyapenuh', 'tipu', 'daya', 'doang']","['jangan', 'instal', 'apk', 'nyapenuh', 'tipu', 'daya', 'doang']"
"['buruk', 'alamat', 'udah', 'bener', 'tapi', 'ngk', 'ketemuterus', 'mau', 'beri', 'nilai', 'untuk', 'kurirnya', 'malah', 'kita', 'ngk', 'bisa', 'ketik', 'sendirijelek', 'sih']","['buruk', 'alamat', 'udah', 'bener', 'ngk', 'ketemuterus', 'mau', 'beri', 'nilai', 'kurirnya', 'malah', 'ngk', 'ketik', 'sendirijelek', 'sih']"
['mantap'],['mantap']
"['otp', 'ga', 'masuk', 'di', 'ulang', 'permintaan', 'terlalu', 'banyak']","['otp', 'ga', 'masuk', 'ulang', 'permintaan', 'terlalu', 'banyak']"
"['abang', 'ramah', 'baik', 'dan', 'baik', 'berinteraksi', 'walau', 'tidak', 'bertemu', 'langsung']","['abang', 'ramah', 'baik', 'baik', 'berinteraksi', 'bertemu', 'langsung']"
"['pengalaman', 'pertama', 'naik', 'maxim', 'ada', 'biaya', 'tambahan', 'diluar', 'biaya', 'orderan', 'cas', 'dari', 'internal', 'maxim', 'airport', 'lumayan', 'mahal']","['pengalaman', 'pertama', 'naik', 'maxim', 'biaya', 'tambahan', 'diluar', 'biaya', 'orderan', 'cas', 'internal', 'maxim', 'airport', 'lumayan', 'mahal']"
"['aplikasi', 'gajelas', 'udh', 'gabisa', 'dibatalin', 'poin', 'belanjaan', 'gajelas', 'hadeh', 'malah', 'mau', 'saingan', 'sama', 'yg', 'mapnya', 'lebih', 'detail']","['aplikasi', 'gajelas', 'udh', 'gabisa', 'dibatalin', 'poin', 'belanjaan', 'gajelas', 'hadeh', 'malah', 'mau', 'saingan', 'sama', 'yg', 'mapnya', 'lebih', 'detail']"
