tokenized_text,no_stopwords
"['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'terdekat', 'pada', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'di', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'di', 'cileungsi', 'trus', 'dpt', 'yg', 'di', 'keamanan', 'paling', 'dket', 'pdahal', 'yg', 'sekitar', 'ancol', 'bnyk', 'yg', 'on']","['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'terdekat', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'cileungsi', 'trus', 'dpt', 'yg', 'keamanan', 'paling', 'dket', 'pdahal', 'yg', 'ancol', 'bnyk', 'yg', 'on']"
"['sangat', 'kecewa', 'aplikasi', 'yg', 'sebaik', 'ini', 'ternyata', 'masih', 'kesulitan', 'untuk', 'melakukan', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'untuk', 'developer', 'mohon', 'diperbaiki', 'segala', 'sistem', 'yg', 'berhubungan', 'dengan', 'pembayaran', 'non', 'tunai', 'saya', 'sudah', 'top', 'up', 'tapi', 'saldo', 'belum', 'masuk', 'juga', 'sudah', 'jam', 'menunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']","['sangat', 'kecewa', 'aplikasi', 'yg', 'sebaik', 'ternyata', 'kesulitan', 'melakukan', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'developer', 'mohon', 'diperbaiki', 'segala', 'sistem', 'yg', 'berhubungan', 'pembayaran', 'non', 'tunai', 'top', 'up', 'saldo', 'masuk', 'jam', 'menunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']"
"['demi', 'apapun', 'gaakan', 'lagi', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'yang', 'gajelas']","['apapun', 'gaakan', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'gajelas']"
"['susah', 'dapet', 'driver', 'mobil', 'di', 'daerah', 'jateng', 'mobile', 'di', 'map', 'banyak', 'tapi', 'pada', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'itu', 'harga', 'yg', 'di', 'tetapkan', 'pihak', 'maxim', 'payah', 'ga', 'sepadan', 'sama', 'para', 'kompetitor', 'nya']","['susah', 'dapet', 'driver', 'mobil', 'daerah', 'jateng', 'mobile', 'map', 'banyak', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'harga', 'yg', 'tetapkan', 'pihak', 'maxim', 'payah', 'ga', 'sepadan', 'sama', 'kompetitor', 'nya']"
"['perjalanan', 'yg', 'saya', 'pilih', 'untuk', 'sekali', 'jalan', 'tiba', 'tagihannya', 'kali', 'lipat', 'pas', 'saya', 'tanya', 'driver', 'katanya', 'dari', 'aplikasi', 'padahal', 'jelas', 'saya', 'sekali', 'jalan', 'masa', 'aplikasi', 'bisa', 'berubah', 'tiba', 'bermasalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'saya', 'juga', 'sesuai', 'aplikasi', 'dengan', 'memilih', 'sekali', 'perjalanan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'terjadi']","['perjalanan', 'yg', 'pilih', 'sekali', 'jalan', 'tiba', 'tagihannya', 'kali', 'lipat', 'pas', 'tanya', 'driver', 'katanya', 'aplikasi', 'padahal', 'jelas', 'sekali', 'jalan', 'masa', 'aplikasi', 'berubah', 'tiba', 'bermasalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'sesuai', 'aplikasi', 'memilih', 'sekali', 'perjalanan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'terjadi']"
"['tolong', 'lah', 'kalau', 'ngasih', 'kendaraan', 'itu', 'jangan', 'jauh']","['lah', 'kalau', 'ngasih', 'kendaraan', 'jangan', 'jauh']"
"['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'di', 'batalkan', 'sama', 'sistem', 'lemot', 'banget', 'asli']","['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'batalkan', 'sama', 'sistem', 'lemot', 'banget', 'asli']"
"['ojek', 'abal', 'kebanyakan', 'tipu']","['ojek', 'abal', 'kebanyakan', 'tipu']"
"['masa', 'pesen', 'makanan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']","['masa', 'pesen', 'makanan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']"
"['saya', 'isi', 'saldo', 'di', 'maxim', 'wallet', 'bukti', 'transfer', 'sudah', 'ada', 'tapi', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'perbantuan', 'nya']","['isi', 'saldo', 'maxim', 'wallet', 'bukti', 'transfer', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'perbantuan', 'nya']"
"['ga', 'bisa', 'login']","['ga', 'login']"
"['lama', 'masuk', 'top', 'up', 'nya']","['lama', 'masuk', 'top', 'up', 'nya']"
"['tarif', 'dikasih', 'kaga', 'dikasih', 'kembalian', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'yang', 'seharusnya', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'lagi', 'pusing', 'kalo', 'mau', 'make']","['tarif', 'dikasih', 'kaga', 'dikasih', 'kembalian', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'pusing', 'kalo', 'mau', 'make']"
"['driver', 'nya', 'ya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']","['driver', 'nya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']"
"['ini', 'kenapa', 'apk', 'tidak', 'bisa', 'ya', 'minta', 'kode', 'pake', 'no', 'telp', 'tapi', 'tidak', 'di', 'kirim', 'kode', 'otppadahal', 'saya', 'langanan', 'maxim']","['apk', 'minta', 'kode', 'pake', 'no', 'telp', 'kirim', 'kode', 'otppadahal', 'langanan', 'maxim']"
"['pelayanan', 'sangat', 'memuaskan']","['pelayanan', 'sangat', 'memuaskan']"
"['penipuan', 'dikasih', 'saldo', 'saldonya', 'ga', 'bisa', 'dipake']","['penipuan', 'dikasih', 'saldo', 'saldonya', 'ga', 'dipake']"
"['saldonya', 'ga', 'bisa', 'di', 'pake', 'huuuuuuu']","['saldonya', 'ga', 'pake', 'huuuuuuu']"
"['gabisa', 'di', 'pake', 'saldonya']","['gabisa', 'pake', 'saldonya']"
"['pekerjanya', 'terlalu', 'memaksa', 'untuk', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']","['pekerjanya', 'terlalu', 'memaksa', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']"
"['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'dan', 'sering', 'nya', 'di', 'tolak', 'driver']","['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'sering', 'nya', 'tolak', 'driver']"
"['driver', 'tidak', 'sopan', 'nunggu', 'suka', 'lamaaa']","['driver', 'sopan', 'nunggu', 'suka', 'lamaaa']"
"['tolong', 'pihak', 'maxim', 'ditindak', 'lanjuti', 'saya', 'tertipu', 'soal', 'pembayaran', 'delivery']","['pihak', 'maxim', 'ditindak', 'lanjuti', 'tertipu', 'soal', 'pembayaran', 'delivery']"
"['daftarnya', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'dikirim', 'kali', 'percobaan', 'udah', 'gak', 'bisa', 'lagi', 'buruk', 'sangat']","['daftarnya', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'dikirim', 'kali', 'percobaan', 'udah', 'gak', 'buruk', 'sangat']"
"['aku', 'sudah', 'top', 'up', 'kemarin', 'tapi', 'sampai', 'besoknya', 'tidak', 'masuk', 'dan', 'saldo', 'di', 'rekeningku', 'sudah', 'terpotong']","['aku', 'top', 'up', 'kemarin', 'besoknya', 'masuk', 'saldo', 'rekeningku', 'terpotong']"
"['minus', 'bgt', 'udh', 'order', 'malah', 'di', 'pilihin', 'driver', 'lain', 'jera', 'unistal']","['minus', 'bgt', 'udh', 'order', 'malah', 'pilihin', 'driver', 'jera', 'unistal']"
"['gk', 'dapat', 'kode', 'otp']","['gk', 'kode', 'otp']"
"['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'saat', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'dan', 'sperti', 'itu', 'lg', 'dan', 'coba', 'ke', 'panggilan', 'tiba', 'diangkat', 'lgsung', 'dimatiin', 'aneh', 'juga', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'dan', 'gk', 'bsa', 'kode', 'nya', 'berakhir', 'nomor', 'sdh', 'gk', 'bsa', 'dipakai', 'lg', 'buat', 'kirim', 'kode', 'atau', 'daftar']","['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'sperti', 'lg', 'coba', 'panggilan', 'tiba', 'diangkat', 'lgsung', 'dimatiin', 'aneh', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'gk', 'bsa', 'kode', 'nya', 'berakhir', 'nomor', 'sdh', 'gk', 'bsa', 'dipakai', 'lg', 'buat', 'kirim', 'kode', 'daftar']"
"['aplikasi', 'fenifu', 'itu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']","['aplikasi', 'fenifu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']"
"['tarif', 'di', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'agak', 'sulit', 'bagi', 'kami', 'perjalanannya', 'harus', 'ada', 'pelaporan', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'dengan', 'alasan', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'penumpang', 'kalau', 'driver', 'ngaret', 'tidak', 'ada', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semuanya', 'datang', 'lagi', 'padahal', 'kita', 'ga', 'ada', 'ganti', 'driver']","['tarif', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'sulit', 'perjalanannya', 'pelaporan', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'alasan', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'penumpang', 'kalau', 'driver', 'ngaret', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semuanya', 'datang', 'padahal', 'ga', 'ganti', 'driver']"
"['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'dikasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'ke', 'tempat', 'yg', 'deket', 'aja', 'kasian', 'drivernya', 'jauh', 'pickup', 'penumpang', 'tapi', 'argonya', 'murah', 'jelek', 'lah', 'pokonya', 'ini', 'aplikasi']","['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'dikasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'tempat', 'yg', 'deket', 'aja', 'kasian', 'drivernya', 'jauh', 'pickup', 'penumpang', 'argonya', 'murah', 'jelek', 'lah', 'pokonya', 'aplikasi']"
"['kalo', 'customer', 'cancel', 'dan', 'minta', 'ganti', 'driver', 'tolonglah', 'di', 'terima', 'bukannya', 'malah', 'di', 'kasih', 'orang', 'itu', 'mulu']","['kalo', 'customer', 'cancel', 'minta', 'ganti', 'driver', 'tolonglah', 'terima', 'bukannya', 'malah', 'kasih', 'orang', 'mulu']"
"['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'di', 'pake', 'scam', 'scam']","['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'pake', 'scam', 'scam']"
"['k', 'scammmmmmmm']","['k', 'scammmmmmmm']"
"['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'bisa', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'dipersulit', 'mendingan', 'si', 'ijo', 'dr', 'pda', 'ini']","['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'dipersulit', 'mendingan', 'si', 'ijo', 'dr', 'pda']"
"['dari', 'driver', 'maxim', 'hanya', 'yg', 'baik', 'yg', 'lain', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'hanya', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'hanya', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']","['driver', 'maxim', 'yg', 'baik', 'yg', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']"
"['tiap', 'hari', 'menerima', 'driver', 'baru', 'banyak', 'kalau', 'saya', 'yang', 'jadi', 'mentri', 'perhubungan', 'sudah', 'saya', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'tidak', 'memikirkan', 'nasib', 'driver', 'pendaftaran', 'di', 'buka', 'teris', 'sampai', 'hari', 'kiamat']","['tiap', 'hari', 'menerima', 'driver', 'baru', 'banyak', 'kalau', 'jadi', 'mentri', 'perhubungan', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'memikirkan', 'nasib', 'driver', 'pendaftaran', 'buka', 'teris', 'hari', 'kiamat']"
"['saya', 'udah', 'transfer', 'kaspro', 'ribu', 'kenapa', 'belum', 'masuk', 'woy', 'tolong', 'dong', 'kembalikan', 'uangnya', 'apa', 'perlu', 'saya', 'up', 'ke', 'medsos']","['udah', 'transfer', 'kaspro', 'ribu', 'masuk', 'woy', 'dong', 'kembalikan', 'uangnya', 'apa', 'perlu', 'up', 'medsos']"
