content,tokenized_text,processed_text
"Hello MAXIM OWNER.. Menerima Driver harus lebih Selektif lagi !!! Jangan orang yg BRANGASAN,BAD ATTITUDE,KASAR dan suka PLAYING VICTIM macam yg Namanya si HARDI !!! Pake Ngerekam2 Saya segalaaa,Gaya Lu Tooong ! Lu kan tau gue minta dianter ke Hotel ANU,pas elu menurunkan gue,ADA GAK HOTEL nya ???Nyerocos kayak Orang GILA.Songong Lu..","['hello', 'maxim', 'owner', 'menerima', 'driver', 'harus', 'lebih', 'selektif', 'lagi', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'dan', 'suka', 'playing', 'victim', 'macam', 'yg', 'namanya', 'si', 'hardi', 'pake', 'ngerekam', 'saya', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'dianter', 'ke', 'hotel', 'anupas', 'elu', 'menurunkan', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']","['hello', 'maxim', 'owner', 'terima', 'driver', 'lebih', 'selektif', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'suka', 'playing', 'victim', 'macam', 'yg', 'nama', 'si', 'hardi', 'pake', 'ngerekam', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'anter', 'hotel', 'anupas', 'elu', 'turun', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']"
"lucu udah top up kaspro malah ga masuk, nominal nya ga sedikit lagi😂😂","['lucu', 'udah', 'top', 'up', 'kaspro', 'malah', 'ga', 'masuk', 'nominal', 'nya', 'ga', 'sedikit', 'lagi']","['lucu', 'udah', 'top', 'up', 'kaspro', 'malah', 'ga', 'masuk', 'nominal', 'nya', 'ga', 'sedikit']"
Salah satu aplikasi yg menurut ku jlk pengemudinya lelet dan sering cancel orderan,"['salah', 'satu', 'aplikasi', 'yg', 'menurut', 'ku', 'jlk', 'pengemudinya', 'lelet', 'dan', 'sering', 'cancel', 'orderan']","['salah', 'satu', 'aplikasi', 'yg', 'ku', 'jlk', 'mud', 'lelet', 'sering', 'cancel', 'order']"
"Driver mitra lo belagu belagu, ngorder yg terdekat pada gak mau pick up, dpt driver jauh2 mulu, order di ancol masa dpt driver yg di cileungsi, trus dpt yg di keamanan paling dket, pdahal yg sekitar ancol bnyk yg On","['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'terdekat', 'pada', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'di', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'di', 'cileungsi', 'trus', 'dpt', 'yg', 'di', 'keamanan', 'paling', 'dket', 'pdahal', 'yg', 'sekitar', 'ancol', 'bnyk', 'yg', 'on']","['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'dekat', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'cileungsi', 'trus', 'dpt', 'yg', 'aman', 'paling', 'dket', 'pdahal', 'yg', 'ancol', 'bnyk', 'yg', 'on']"
"Sangat kecewa! Aplikasi yg sebaik ini ternyata masih kesulitan untuk melakukan top up Maxim e wallet Kaspro. Untuk developer, mohon diperbaiki segala sistem yg berhubungan dengan pembayaran non tunai. Saya sudah top up tapi saldo belum masuk juga sudah 24 jam menunggu. Kasih bintang satu ja. Terima kasih","['sangat', 'kecewa', 'aplikasi', 'yg', 'sebaik', 'ini', 'ternyata', 'masih', 'kesulitan', 'untuk', 'melakukan', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'untuk', 'developer', 'mohon', 'diperbaiki', 'segala', 'sistem', 'yg', 'berhubungan', 'dengan', 'pembayaran', 'non', 'tunai', 'saya', 'sudah', 'top', 'up', 'tapi', 'saldo', 'belum', 'masuk', 'juga', 'sudah', 'jam', 'menunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']","['sangat', 'kecewa', 'aplikasi', 'yg', 'baik', 'nyata', 'sulit', 'laku', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'developer', 'mohon', 'baik', 'segala', 'sistem', 'yg', 'hubung', 'bayar', 'non', 'tunai', 'top', 'up', 'saldo', 'masuk', 'jam', 'tunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']"
Demi apapun gaakan lagi gua pake maxim Driver nya makin banyak yang gajelas!!!,"['demi', 'apapun', 'gaakan', 'lagi', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'yang', 'gajelas']","['apa', 'gaakan', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'gajelas']"
"Susah dapet driver mobil di daerah jateng, mobile di map banyak tapi pada ga mau ngambil, kalo masalah harga padahal itu harga yg di tetapkan pihak Maxim, payah ga sepadan sama para kompetitor nya","['susah', 'dapet', 'driver', 'mobil', 'di', 'daerah', 'jateng', 'mobile', 'di', 'map', 'banyak', 'tapi', 'pada', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'itu', 'harga', 'yg', 'di', 'tetapkan', 'pihak', 'maxim', 'payah', 'ga', 'sepadan', 'sama', 'para', 'kompetitor', 'nya']","['susah', 'dapet', 'driver', 'mobil', 'daerah', 'jateng', 'mobile', 'map', 'banyak', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'harga', 'yg', 'tetap', 'pihak', 'maxim', 'payah', 'ga', 'padan', 'sama', 'kompetitor', 'nya']"
"Perjalanan yg saya pilih untuk sekali jalan, tiba² tagihannya 2 kali lipat pas saya tanya driver katanya dari aplikasi, padahal jelas² saya sekali jalan. Masa aplikasi bisa berubah tiba², bermasalah. Driver tetap minta tarif sesuai aplikasi, yg jelas² saya juga sesuai aplikasi. Dengan memilih sekali perjalanan. Jadi ongkos 80.000 jadi 159.000. Apa yg terjadi?","['perjalanan', 'yg', 'saya', 'pilih', 'untuk', 'sekali', 'jalan', 'tiba', 'tagihannya', 'kali', 'lipat', 'pas', 'saya', 'tanya', 'driver', 'katanya', 'dari', 'aplikasi', 'padahal', 'jelas', 'saya', 'sekali', 'jalan', 'masa', 'aplikasi', 'bisa', 'berubah', 'tiba', 'bermasalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'saya', 'juga', 'sesuai', 'aplikasi', 'dengan', 'memilih', 'sekali', 'perjalanan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'terjadi']","['jalan', 'yg', 'pilih', 'sekali', 'jalan', 'tiba', 'tagih', 'kali', 'lipat', 'pas', 'tanya', 'driver', 'kata', 'aplikasi', 'padahal', 'jelas', 'sekali', 'jalan', 'masa', 'aplikasi', 'ubah', 'tiba', 'masalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'sesuai', 'aplikasi', 'pilih', 'sekali', 'jalan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'jadi']"
Tolong lah kalau ngasih kendaraan itu jangan jauh2,"['tolong', 'lah', 'kalau', 'ngasih', 'kendaraan', 'itu', 'jangan', 'jauh']","['lah', 'kalau', 'ngasih', 'kendara', 'jangan', 'jauh']"
"Capek banget tiap mau pakai maxim wallet selalu di batalkan sama sistem, lemot banget asli!!!!!!!!!","['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'di', 'batalkan', 'sama', 'sistem', 'lemot', 'banget', 'asli']","['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'batal', 'sama', 'sistem', 'lot', 'banget', 'asli']"
