content,tokenized_text,processed_text
"Hampir tiap hari dapat driver yg selalu minta naikin harga jadi lebih mahal padahal udah ada biaya dari aplikasinya. Maksud saya kan emang pesan mobil yg L untuk 6 penumpang, yah otomatis bisalah untuk 6 org malah minta naikin harga. Kan t4iiii","['hampir', 'tiap', 'hari', 'dapat', 'driver', 'yg', 'selalu', 'minta', 'naikin', 'harga', 'jadi', 'lebih', 'mahal', 'padahal', 'udah', 'ada', 'biaya', 'dari', 'aplikasinya', 'maksud', 'saya', 'kan', 'emang', 'pesan', 'mobil', 'yg', 'l', 'untuk', 'penumpang', 'yah', 'otomatis', 'bisalah', 'untuk', 'org', 'malah', 'minta', 'naikin', 'harga', 'kan', 'tiiii']","['hampir', 'tiap', 'hari', 'driver', 'yg', 'selalu', 'minta', 'naikin', 'harga', 'jadi', 'lebih', 'mahal', 'padahal', 'udah', 'biaya', 'aplikasi', 'maksud', 'kan', 'emang', 'pesan', 'mobil', 'yg', 'l', 'tumpang', 'yah', 'otomatis', 'bisa', 'org', 'malah', 'minta', 'naikin', 'harga', 'kan', 'tiiii']"
mana katanya dikasih diskon 10% ujung²nya suruh bayar harga normal sm driver nya padahal lagi bawa duit ngepas untung aja ada tambahan,"['mana', 'katanya', 'dikasih', 'diskon', 'ujungnya', 'suruh', 'bayar', 'harga', 'normal', 'sm', 'driver', 'nya', 'padahal', 'lagi', 'bawa', 'duit', 'ngepas', 'untung', 'aja', 'ada', 'tambahan']","['mana', 'kata', 'kasih', 'diskon', 'ujung', 'suruh', 'bayar', 'harga', 'normal', 'sm', 'driver', 'nya', 'padahal', 'bawa', 'duit', 'ngepas', 'untung', 'aja', 'tambah']"
Menentukan titik jemput nya sulit karena menemukan lokasi yang akurat itu tidak bisa,"['menentukan', 'titik', 'jemput', 'nya', 'sulit', 'karena', 'menemukan', 'lokasi', 'yang', 'akurat', 'itu', 'tidak', 'bisa']","['tentu', 'titik', 'jemput', 'nya', 'sulit', 'temu', 'lokasi', 'akurat']"
kalau pesen makanan atau minuman sangat lambat dapat driver nya dan pengiriman nya juga lamaaaa tidak kayak sebelah on time ini lamaaaa,"['kalau', 'pesen', 'makanan', 'atau', 'minuman', 'sangat', 'lambat', 'dapat', 'driver', 'nya', 'dan', 'pengiriman', 'nya', 'juga', 'lamaaaa', 'tidak', 'kayak', 'sebelah', 'on', 'time', 'ini', 'lamaaaa']","['kalau', 'sen', 'makan', 'minum', 'sangat', 'lambat', 'driver', 'nya', 'kirim', 'nya', 'lamaaaa', 'kayak', 'belah', 'on', 'time', 'lamaaaa']"
Tolong donk maxim Drivernya jangan yang itu itu aja Udah gitu naiknya pada kenceng2 pada ngebut2 membahayakan penumpang aja,"['tolong', 'donk', 'maxim', 'drivernya', 'jangan', 'yang', 'itu', 'itu', 'aja', 'udah', 'gitu', 'naiknya', 'pada', 'kenceng', 'pada', 'ngebut', 'membahayakan', 'penumpang', 'aja']","['donk', 'maxim', 'drivernya', 'jangan', 'aja', 'udah', 'gitu', 'naik', 'kenceng', 'ngebut', 'bahaya', 'tumpang', 'aja']"
kaspro gak jelas penanganan lemotnya minta ampun topup jam4 masuk jam 5,"['kaspro', 'gak', 'jelas', 'penanganan', 'lemotnya', 'minta', 'ampun', 'topup', 'jam', 'masuk', 'jam']","['kaspro', 'gak', 'jelas', 'tangan', 'lot', 'minta', 'ampun', 'topup', 'jam', 'masuk', 'jam']"
"Leave dulu ya dari Maxim. Kecewa dengan driver nya. Sudah deal melalui pesan malah minta cancel, minta tambah ongkos 😈😈 PARAH..","['leave', 'dulu', 'ya', 'dari', 'maxim', 'kecewa', 'dengan', 'driver', 'nya', 'sudah', 'deal', 'melalui', 'pesan', 'malah', 'minta', 'cancel', 'minta', 'tambah', 'ongkos', 'parah']","['leave', 'dulu', 'maxim', 'kecewa', 'driver', 'nya', 'deal', 'lalu', 'pesan', 'malah', 'minta', 'cancel', 'minta', 'tambah', 'ongkos', 'parah']"
"Aplikasi gajelas cari map aja susah , benerin lagi biar gampang cari map yg di tuju","['aplikasi', 'gajelas', 'cari', 'map', 'aja', 'susah', 'benerin', 'lagi', 'biar', 'gampang', 'cari', 'map', 'yg', 'di', 'tuju']","['aplikasi', 'gajelas', 'cari', 'map', 'aja', 'susah', 'benerin', 'biar', 'gampang', 'cari', 'map', 'yg', 'tuju']"
"Kenapa sih driver Maxim selalu lelet, kan biasanya ada waktu tunggu 3 menit sampai driver nya Dateng kan, nah kenapa driver malah nunggu 3 menit nya abis baru setelah itu berangkat ke lokasi jemput saya. Sengaja apa gimana sih??? Bikin kesel tau ga.","['kenapa', 'sih', 'driver', 'maxim', 'selalu', 'lelet', 'kan', 'biasanya', 'ada', 'waktu', 'tunggu', 'menit', 'sampai', 'driver', 'nya', 'dateng', 'kan', 'nah', 'kenapa', 'driver', 'malah', 'nunggu', 'menit', 'nya', 'abis', 'baru', 'setelah', 'itu', 'berangkat', 'ke', 'lokasi', 'jemput', 'saya', 'sengaja', 'apa', 'gimana', 'sih', 'bikin', 'kesel', 'tau', 'ga']","['sih', 'driver', 'maxim', 'selalu', 'lelet', 'kan', 'biasa', 'waktu', 'tunggu', 'menit', 'driver', 'nya', 'dateng', 'kan', 'nah', 'driver', 'malah', 'nunggu', 'menit', 'nya', 'abis', 'baru', 'berangkat', 'lokasi', 'jemput', 'sengaja', 'apa', 'gimana', 'sih', 'bikin', 'kesel', 'tau', 'ga']"
"aplikasinya sudah bagus cuman untuk login seringkali eror waktu kode otp,sama perbaiki titik map yg kadang meleset sesuai titiknya,, saran saya bisa ditambahkan alamat email untuk login maximnya , dan semoga lebih baik lagi... terimakasih","['aplikasinya', 'sudah', 'bagus', 'cuman', 'untuk', 'login', 'seringkali', 'eror', 'waktu', 'kode', 'otpsama', 'perbaiki', 'titik', 'map', 'yg', 'kadang', 'meleset', 'sesuai', 'titiknya', 'saran', 'saya', 'bisa', 'ditambahkan', 'alamat', 'email', 'untuk', 'login', 'maximnya', 'dan', 'semoga', 'lebih', 'baik', 'lagi', 'terimakasih']","['aplikasi', 'bagus', 'cuman', 'login', 'seringkali', 'eror', 'waktu', 'kode', 'otpsama', 'baik', 'titik', 'map', 'yg', 'kadang', 'meleset', 'sesuai', 'titik', 'saran', 'tambah', 'alamat', 'email', 'login', 'maximnya', 'moga', 'lebih', 'baik', 'terimakasih']"
agak kurang srek sama fitur menunggu berbayar yaa kita pelanggan sudah menunggu lama kena berbayar juga,"['agak', 'kurang', 'srek', 'sama', 'fitur', 'menunggu', 'berbayar', 'yaa', 'kita', 'pelanggan', 'sudah', 'menunggu', 'lama', 'kena', 'berbayar', 'juga']","['kurang', 'srek', 'sama', 'fitur', 'tunggu', 'bayar', 'yaa', 'langgan', 'tunggu', 'lama', 'kena', 'bayar']"
"Eh buset masih belum diperbaiki ini masalah pemilihan maps yang tidak akurat ? Tadi mau pesan di maxim pas saya ketik alamat tujuan tidak ada/tidak terdeteksi!. Saat pemilihan alamat tujuan sangat ribet, beda sama apk driver jaket hijau lebih simple dan mudah, saat mengetik alamat tujuan ataupun copy paste alamat tujuan pasti langsung ketemu. Beda di maxim sudah mengetik alamat/copy paste tetap gak ketemu/tidak terdeteksi, tolong diperbaiki lagi masalah maps nya agar dipermudah saat mencari.","['eh', 'buset', 'masih', 'belum', 'diperbaiki', 'ini', 'masalah', 'pemilihan', 'maps', 'yang', 'tidak', 'akurat', 'tadi', 'mau', 'pesan', 'di', 'maxim', 'pas', 'saya', 'ketik', 'alamat', 'tujuan', 'tidak', 'adatidak', 'terdeteksi', 'saat', 'pemilihan', 'alamat', 'tujuan', 'sangat', 'ribet', 'beda', 'sama', 'apk', 'driver', 'jaket', 'hijau', 'lebih', 'simple', 'dan', 'mudah', 'saat', 'mengetik', 'alamat', 'tujuan', 'ataupun', 'copy', 'paste', 'alamat', 'tujuan', 'pasti', 'langsung', 'ketemu', 'beda', 'di', 'maxim', 'sudah', 'mengetik', 'alamatcopy', 'paste', 'tetap', 'gak', 'ketemutidak', 'terdeteksi', 'tolong', 'diperbaiki', 'lagi', 'masalah', 'maps', 'nya', 'agar', 'dipermudah', 'saat', 'mencari']","['eh', 'buset', 'baik', 'masalah', 'pilih', 'maps', 'akurat', 'tadi', 'mau', 'pesan', 'maxim', 'pas', 'ketik', 'alamat', 'tuju', 'adatidak', 'deteksi', 'pilih', 'alamat', 'tuju', 'sangat', 'ribet', 'beda', 'sama', 'apk', 'driver', 'jaket', 'hijau', 'lebih', 'simple', 'mudah', 'etik', 'alamat', 'tuju', 'atau', 'copy', 'paste', 'alamat', 'tuju', 'langsung', 'ketemu', 'beda', 'maxim', 'etik', 'alamatcopy', 'paste', 'tetap', 'gak', 'ketemutidak', 'deteksi', 'baik', 'masalah', 'maps', 'nya', 'mudah', 'cari']"
pengendara nya ugal ugalan saya hampir nabrak berkali kali dengan driver yang berbeda,"['pengendara', 'nya', 'ugal', 'ugalan', 'saya', 'hampir', 'nabrak', 'berkali', 'kali', 'dengan', 'driver', 'yang', 'berbeda']","['kendara', 'nya', 'ugal', 'ugalan', 'hampir', 'nabrak', 'kali', 'kali', 'driver', 'beda']"
Driver suka ga becus. Masa salah tujuan sih nganterinnya,"['driver', 'suka', 'ga', 'becus', 'masa', 'salah', 'tujuan', 'sih', 'nganterinnya']","['driver', 'suka', 'ga', 'becus', 'masa', 'salah', 'tuju', 'sih', 'nganterinnya']"
Was In,"['was', 'in']","['was', 'in']"
"tidak bisa menerima kode otp walaupun sudah ganti"" nomor","['tidak', 'bisa', 'menerima', 'kode', 'otp', 'walaupun', 'sudah', 'ganti', 'nomor']","['terima', 'kode', 'otp', 'walaupun', 'ganti', 'nomor']"
"Apk panteekkkk,orang dimana,letak titiknya dimana,map lu benerin anjinggg","['apk', 'panteekkkkorang', 'dimanaletak', 'titiknya', 'dimanamap', 'lu', 'benerin', 'anjinggg']","['apk', 'panteekkkkorang', 'dimanaletak', 'titik', 'dimanamap', 'lu', 'benerin', 'anjinggg']"
dari dulu pas apk ini keluar kekuarangannya hanya 1.ya itu kurang di map sja.map tak akurat.klo di ketik alamat.alamat tak terdaftar makin kesini makin parah.map nya malah tak terbuka sama sekali😔😔😔😠😠😠😡😡😡,"['dari', 'dulu', 'pas', 'apk', 'ini', 'keluar', 'kekuarangannya', 'hanya', 'ya', 'itu', 'kurang', 'di', 'map', 'sjamap', 'tak', 'akuratklo', 'di', 'ketik', 'alamatalamat', 'tak', 'terdaftar', 'makin', 'kesini', 'makin', 'parahmap', 'nya', 'malah', 'tak', 'terbuka', 'sama', 'sekali']","['dulu', 'pas', 'apk', 'keluar', 'arang', 'kurang', 'map', 'sjamap', 'tak', 'akuratklo', 'ketik', 'alamatalamat', 'tak', 'daftar', 'makin', 'kesini', 'makin', 'parahmap', 'nya', 'malah', 'tak', 'buka', 'sama', 'sekali']"
Driver nggak ada yang becus,"['driver', 'nggak', 'ada', 'yang', 'becus']","['driver', 'becus']"
Nambah kesini ga makin baik malah tambah jelek .,"['nambah', 'kesini', 'ga', 'makin', 'baik', 'malah', 'tambah', 'jelek']","['nambah', 'kesini', 'ga', 'makin', 'baik', 'malah', 'tambah', 'jelek']"
Map GA JELAS! Pesan harga 8rb pas datang ke lokasi jadi 15rb lebih. Kocak,"['map', 'ga', 'jelas', 'pesan', 'harga', 'rb', 'pas', 'datang', 'ke', 'lokasi', 'jadi', 'rb', 'lebih', 'kocak']","['map', 'ga', 'jelas', 'pesan', 'harga', 'rb', 'pas', 'datang', 'lokasi', 'jadi', 'rb', 'lebih', 'kocak']"
APLIKASI TAIK DIPERLUKAN G BISA LOGIN,"['aplikasi', 'taik', 'diperlukan', 'g', 'bisa', 'login']","['aplikasi', 'taik', 'perlu', 'g', 'login']"
"Salah kasih titik penjualan, membuat saya dan driver nya marah saja. Benarin lagi lain kali lahh ah kocak Di titik penjualan nya dia cuma jual ayam geprek di apk nya di tulis jualan sate Emang aneh","['salah', 'kasih', 'titik', 'penjualan', 'membuat', 'saya', 'dan', 'driver', 'nya', 'marah', 'saja', 'benarin', 'lagi', 'lain', 'kali', 'lahh', 'ah', 'kocak', 'di', 'titik', 'penjualan', 'nya', 'dia', 'cuma', 'jual', 'ayam', 'geprek', 'di', 'apk', 'nya', 'di', 'tulis', 'jualan', 'sate', 'emang', 'aneh']","['salah', 'kasih', 'titik', 'jual', 'buat', 'driver', 'nya', 'marah', 'benarin', 'kali', 'lahh', 'ah', 'kocak', 'titik', 'jual', 'nya', 'cuma', 'jual', 'ayam', 'geprek', 'apk', 'nya', 'tulis', 'jual', 'sate', 'emang', 'aneh']"
Lemot banget. Padahal pengen order makanan tapi malah loading terus. Buat nonton youtube resolusi tinggi nyaman aja tuh,"['lemot', 'banget', 'padahal', 'pengen', 'order', 'makanan', 'tapi', 'malah', 'loading', 'terus', 'buat', 'nonton', 'youtube', 'resolusi', 'tinggi', 'nyaman', 'aja', 'tuh']","['lot', 'banget', 'padahal', 'ken', 'order', 'makan', 'malah', 'loading', 'terus', 'buat', 'nonton', 'youtube', 'resolusi', 'tinggi', 'nyaman', 'aja', 'tuh']"
GPS mobil jln tak aktif,"['gps', 'mobil', 'jln', 'tak', 'aktif']","['gps', 'mobil', 'jln', 'tak', 'aktif']"
Lo kalo ngasih tarif ke driver yg ngotak jangan kayak budak dibuat murah kurang murah,"['lo', 'kalo', 'ngasih', 'tarif', 'ke', 'driver', 'yg', 'ngotak', 'jangan', 'kayak', 'budak', 'dibuat', 'murah', 'kurang', 'murah']","['lo', 'kalo', 'ngasih', 'tarif', 'driver', 'yg', 'ngotak', 'jangan', 'kayak', 'budak', 'buat', 'murah', 'kurang', 'murah']"
makasih byk 🙏,"['makasih', 'byk']","['makasih', 'byk']"
"pesen makan kadang ga bisa, karena ga nemu driver katanya, jadi saya kasih bintang 1, sebelum saya puas","['pesen', 'makan', 'kadang', 'ga', 'bisa', 'karena', 'ga', 'nemu', 'driver', 'katanya', 'jadi', 'saya', 'kasih', 'bintang', 'sebelum', 'saya', 'puas']","['sen', 'makan', 'kadang', 'ga', 'ga', 'nemu', 'driver', 'kata', 'jadi', 'kasih', 'bintang', 'puas']"
Layanan food nya ngaco.,"['layanan', 'food', 'nya', 'ngaco']","['layan', 'food', 'nya', 'ngaco']"
"KOK SAYA LG MAKE APK MAXIM TBTB LOG OUT DAN GBS LOGIN LG, KNP?","['kok', 'saya', 'lg', 'make', 'apk', 'maxim', 'tbtb', 'log', 'out', 'dan', 'gbs', 'login', 'lg', 'knp']","['kok', 'lg', 'make', 'apk', 'maxim', 'tbtb', 'log', 'out', 'gbs', 'login', 'lg', 'knp']"
"Kecewa bgt, lagi terdesak top up saldo gk masuk-masuk, udah di refresh dan keluar untuk login lagi malah gk bisa masuk. Jadi gimana nasib saldonya?","['kecewa', 'bgt', 'lagi', 'terdesak', 'top', 'up', 'saldo', 'gk', 'masukmasuk', 'udah', 'di', 'refresh', 'dan', 'keluar', 'untuk', 'login', 'lagi', 'malah', 'gk', 'bisa', 'masuk', 'jadi', 'gimana', 'nasib', 'saldonya']","['kecewa', 'bgt', 'desak', 'top', 'up', 'saldo', 'gk', 'masukmasuk', 'udah', 'refresh', 'keluar', 'login', 'malah', 'gk', 'masuk', 'jadi', 'gimana', 'nasib', 'saldo']"
Masih belum ada perubahan Untuk pengisian ewalet kaspro lama sekali masuk nya,"['masih', 'belum', 'ada', 'perubahan', 'untuk', 'pengisian', 'ewalet', 'kaspro', 'lama', 'sekali', 'masuk', 'nya']","['ubah', 'isi', 'ewalet', 'kaspro', 'lama', 'sekali', 'masuk', 'nya']"
Mau mesen buru2 malah gak bisa tolol lama bener kode otp gara2 ganti hp,"['mau', 'mesen', 'buru', 'malah', 'gak', 'bisa', 'tolol', 'lama', 'bener', 'kode', 'otp', 'gara', 'ganti', 'hp']","['mau', 'mesen', 'buru', 'malah', 'gak', 'tolol', 'lama', 'bener', 'kode', 'otp', 'gara', 'ganti', 'hp']"
driver gk jls. pda emosiann gk suka,"['driver', 'gk', 'jls', 'pda', 'emosiann', 'gk', 'suka']","['driver', 'gk', 'jls', 'pda', 'emosiann', 'gk', 'suka']"
Aneh aneh drivernya ini maxim Masa mengeluh kejauhan.kan dibayar...tolong tertibkan itu driver2mu pada gak beres.!!!,"['aneh', 'aneh', 'drivernya', 'ini', 'maxim', 'masa', 'mengeluh', 'kejauhankan', 'dibayartolong', 'tertibkan', 'itu', 'drivermu', 'pada', 'gak', 'beres']","['aneh', 'aneh', 'drivernya', 'maxim', 'masa', 'keluh', 'kejauhankan', 'dibayartolong', 'tertib', 'drivermu', 'gak', 'beres']"
"Jelek, tidak bisa masuk aplikasi diminta kode tidak ada SMS, Parah","['jelek', 'tidak', 'bisa', 'masuk', 'aplikasi', 'diminta', 'kode', 'tidak', 'ada', 'sms', 'parah']","['jelek', 'masuk', 'aplikasi', 'minta', 'kode', 'sms', 'parah']"
"Harus nya pakai driver terdekat, kek gini orang make terlambat mulu gara gara driver jauh","['harus', 'nya', 'pakai', 'driver', 'terdekat', 'kek', 'gini', 'orang', 'make', 'terlambat', 'mulu', 'gara', 'gara', 'driver', 'jauh']","['nya', 'pakai', 'driver', 'dekat', 'kek', 'gin', 'orang', 'make', 'lambat', 'mulu', 'gara', 'gara', 'driver', 'jauh']"
Alamat suka tidak jelas,"['alamat', 'suka', 'tidak', 'jelas']","['alamat', 'suka', 'jelas']"
sangat baik,"['sangat', 'baik']","['sangat', 'baik']"
Pelayanan Maksim Gojek Nya Buruk Sekali Sangat Tdk Baik Lebih Di Perhatikan Lgi Sopansantunya,"['pelayanan', 'maksim', 'gojek', 'nya', 'buruk', 'sekali', 'sangat', 'tdk', 'baik', 'lebih', 'di', 'perhatikan', 'lgi', 'sopansantunya']","['layan', 'maksim', 'gojek', 'nya', 'buruk', 'sekali', 'sangat', 'tdk', 'baik', 'lebih', 'perhati', 'lgi', 'sopansantunya']"
Apk lemot,"['apk', 'lemot']","['apk', 'lot']"
"Semakin hari semakin naik tarif,driver suka minta ongkas tambah.lebih baik naik angkot kembali lebih murah.","['semakin', 'hari', 'semakin', 'naik', 'tarifdriver', 'suka', 'minta', 'ongkas', 'tambahlebih', 'baik', 'naik', 'angkot', 'kembali', 'lebih', 'murah']","['makin', 'hari', 'makin', 'naik', 'tarifdriver', 'suka', 'minta', 'ongkas', 'tambahlebih', 'baik', 'naik', 'angkot', 'lebih', 'murah']"
"PARAH. Hari ini saya pakai aplikasi maxim untuk 2 kali transaksi. Pertama, di yogyakarta, saya dari dearah bantul ke lempuyangan. Awalnya 36.000 an. Pas nyampe stasiun naik jadi 48.000. KEDUA. SAYA ORDER LAGI DI GUBENG. Dari surabaya gubeng ke sidoarjo. Di aplikasi tertulis 123.500. Driver meminta lwt tol full dgn alasan biar aman. Oke saya terima. Tpi pas sampai HARGANYA JADI 280.000 PARAH NAIK 157.000 SUMPPAH KECEWA BANGET. pAdahal toll harganya gak sampai 20.000. KECEWA SKL. SERASA DITIPU.","['parah', 'hari', 'ini', 'saya', 'pakai', 'aplikasi', 'maxim', 'untuk', 'kali', 'transaksi', 'pertama', 'di', 'yogyakarta', 'saya', 'dari', 'dearah', 'bantul', 'ke', 'lempuyangan', 'awalnya', 'an', 'pas', 'nyampe', 'stasiun', 'naik', 'jadi', 'kedua', 'saya', 'order', 'lagi', 'di', 'gubeng', 'dari', 'surabaya', 'gubeng', 'ke', 'sidoarjo', 'di', 'aplikasi', 'tertulis', 'driver', 'meminta', 'lwt', 'tol', 'full', 'dgn', 'alasan', 'biar', 'aman', 'oke', 'saya', 'terima', 'tpi', 'pas', 'sampai', 'harganya', 'jadi', 'parah', 'naik', 'sumppah', 'kecewa', 'banget', 'padahal', 'toll', 'harganya', 'gak', 'sampai', 'kecewa', 'skl', 'serasa', 'ditipu']","['parah', 'hari', 'pakai', 'aplikasi', 'maxim', 'kali', 'transaksi', 'pertama', 'yogyakarta', 'dearah', 'bantul', 'lempuyangan', 'awal', 'an', 'pas', 'nyampe', 'stasiun', 'naik', 'jadi', 'dua', 'order', 'gubeng', 'surabaya', 'gubeng', 'sidoarjo', 'aplikasi', 'tulis', 'driver', 'minta', 'lwt', 'tol', 'full', 'dgn', 'alas', 'biar', 'aman', 'oke', 'terima', 'tpi', 'pas', 'harga', 'jadi', 'parah', 'naik', 'sumppah', 'kecewa', 'banget', 'padahal', 'toll', 'harga', 'gak', 'kecewa', 'skl', 'serasa', 'tipu']"
Hadehh masa wallet saya kesedot 30.000 tidak ada riwayat pemotongan nya krna apa gtu,"['hadehh', 'masa', 'wallet', 'saya', 'kesedot', 'tidak', 'ada', 'riwayat', 'pemotongan', 'nya', 'krna', 'apa', 'gtu']","['hadehh', 'masa', 'wallet', 'sedot', 'riwayat', 'potong', 'nya', 'krna', 'apa', 'gtu']"
"Dagelan bener nih, map nya maxim. Kenapa ga kerjasama dengan gmaps aja. Yg jelas2 t4 udah pindah tp di map maxim masih di lokasi lama.","['dagelan', 'bener', 'nih', 'map', 'nya', 'maxim', 'kenapa', 'ga', 'kerjasama', 'dengan', 'gmaps', 'aja', 'yg', 'jelas', 't', 'udah', 'pindah', 'tp', 'di', 'map', 'maxim', 'masih', 'di', 'lokasi', 'lama']","['dagel', 'bener', 'nih', 'map', 'nya', 'maxim', 'ga', 'kerjasama', 'gmaps', 'aja', 'yg', 'jelas', 't', 'udah', 'pindah', 'tp', 'map', 'maxim', 'lokasi', 'lama']"
"Minta tolong penjalasan nya untuk harga yang tertata di apk costomer dengan driver itu beda,mohon untuk di tanggapi karena selisihnya 3-4rb🙏","['minta', 'tolong', 'penjalasan', 'nya', 'untuk', 'harga', 'yang', 'tertata', 'di', 'apk', 'costomer', 'dengan', 'driver', 'itu', 'bedamohon', 'untuk', 'di', 'tanggapi', 'karena', 'selisihnya', 'rb']","['minta', 'penjalasan', 'nya', 'harga', 'tata', 'apk', 'costomer', 'driver', 'bedamohon', 'tanggap', 'selisih', 'rb']"
"Maxim kaspro ga jelas,berapa kali pesen sama driver selalu di tolak dengan alasan mereka ga pake Maxim kaspro,ya harusnya otomatis cari driver yang punya kaspro lah,mana ga bisa di TF kemana2 lagi,mending kerja sama dengan wallet yang lain aja yang lebih sering di pake ntah itu DANA,Link aja atau yg lain2 gaje banget sumpah kaspro","['maxim', 'kaspro', 'ga', 'jelasberapa', 'kali', 'pesen', 'sama', 'driver', 'selalu', 'di', 'tolak', 'dengan', 'alasan', 'mereka', 'ga', 'pake', 'maxim', 'kasproya', 'harusnya', 'otomatis', 'cari', 'driver', 'yang', 'punya', 'kaspro', 'lahmana', 'ga', 'bisa', 'di', 'tf', 'kemana', 'lagimending', 'kerja', 'sama', 'dengan', 'wallet', 'yang', 'lain', 'aja', 'yang', 'lebih', 'sering', 'di', 'pake', 'ntah', 'itu', 'danalink', 'aja', 'atau', 'yg', 'lain', 'gaje', 'banget', 'sumpah', 'kaspro']","['maxim', 'kaspro', 'ga', 'jelasberapa', 'kali', 'sen', 'sama', 'driver', 'selalu', 'tolak', 'alas', 'ga', 'pake', 'maxim', 'kasproya', 'harus', 'otomatis', 'cari', 'driver', 'punya', 'kaspro', 'lahmana', 'ga', 'tf', 'lagimending', 'kerja', 'sama', 'wallet', 'aja', 'lebih', 'sering', 'pake', 'ntah', 'danalink', 'aja', 'yg', 'gaje', 'banget', 'sumpah', 'kaspro']"
Gak bisa cencel orderan busuk,"['gak', 'bisa', 'cencel', 'orderan', 'busuk']","['gak', 'cencel', 'order', 'busuk']"
"TOLONG PERBAIKI MANAGEMENT NYA, SAYA SEBAGAI PELANGGAN MERASA KASIHAN TERHADAP MITRA ATAU DRIVER KALIAN.. MEREKA MENCARI NAFKAH UTK DIRUMAH AKAN TETAPI UNTUK KENDARAAN NYA DIABAIKAN.. KARENA PENDAPATANNYA TIDAK SEPERTI YANG ADA DI IKLAN KALIAN BUAT.. TERUTAMA YANG AD DI BALIKPAPAN.. JANGAN HANYA MEMIKIRKAN PENDAPATAN KALIAN SAJA.. TETAPI PIKIRKAN JUGA NASIB MITRA ATAU DRIVER KALIAN..","['tolong', 'perbaiki', 'management', 'nya', 'saya', 'sebagai', 'pelanggan', 'merasa', 'kasihan', 'terhadap', 'mitra', 'atau', 'driver', 'kalian', 'mereka', 'mencari', 'nafkah', 'utk', 'dirumah', 'akan', 'tetapi', 'untuk', 'kendaraan', 'nya', 'diabaikan', 'karena', 'pendapatannya', 'tidak', 'seperti', 'yang', 'ada', 'di', 'iklan', 'kalian', 'buat', 'terutama', 'yang', 'ad', 'di', 'balikpapan', 'jangan', 'hanya', 'memikirkan', 'pendapatan', 'kalian', 'saja', 'tetapi', 'pikirkan', 'juga', 'nasib', 'mitra', 'atau', 'driver', 'kalian']","['baik', 'management', 'nya', 'langgan', 'rasa', 'kasihan', 'mitra', 'driver', 'kalian', 'cari', 'nafkah', 'utk', 'rumah', 'kendara', 'nya', 'abai', 'dapat', 'iklan', 'kalian', 'buat', 'utama', 'ad', 'balikpapan', 'jangan', 'pikir', 'dapat', 'kalian', 'pikir', 'nasib', 'mitra', 'driver', 'kalian']"
saya tidak bisa login,"['saya', 'tidak', 'bisa', 'login']",['login']
"Driver atas nama M riswan nopol B4240BAY , PENIPU ORDER NASI AYAM DUIT SUDAH SAYA TF NASI TIDAK DI ANTAR KAN, TOLONG MAXIM DI KASIH SANGSI DRIVER GA AMANAH KEK GINI","['driver', 'atas', 'nama', 'm', 'riswan', 'nopol', 'bbay', 'penipu', 'order', 'nasi', 'ayam', 'duit', 'sudah', 'saya', 'tf', 'nasi', 'tidak', 'di', 'antar', 'kan', 'tolong', 'maxim', 'di', 'kasih', 'sangsi', 'driver', 'ga', 'amanah', 'kek', 'gini']","['driver', 'atas', 'nama', 'm', 'riswan', 'nopol', 'bbay', 'tipu', 'order', 'nasi', 'ayam', 'duit', 'tf', 'nasi', 'antar', 'kan', 'maxim', 'kasih', 'sangsi', 'driver', 'ga', 'amanah', 'kek', 'gin']"
Maxim di area Gorontalo tidak profesional dalam kerja contohnya banyak 1. Maxim kadang tidak sendiri bhkan sering membawa orang lain yang bhkan tda ada sangkut paut dalam pekerjaan 2. Maxim terlalu memaksakan orderan seperti apa itu kayak menerima 1 orderan tapi juga menjalankan orderan lain seperti pesanan dan lain lain 3. Maxim hanya asal terima orderan ... Mereka bilang kendaraan jadi kendala untuk pergi ke tujuan dan minta untuk di batalkan tapi ketika di batalkan mereka tetap konfir lagi,"['maxim', 'di', 'area', 'gorontalo', 'tidak', 'profesional', 'dalam', 'kerja', 'contohnya', 'banyak', 'maxim', 'kadang', 'tidak', 'sendiri', 'bhkan', 'sering', 'membawa', 'orang', 'lain', 'yang', 'bhkan', 'tda', 'ada', 'sangkut', 'paut', 'dalam', 'pekerjaan', 'maxim', 'terlalu', 'memaksakan', 'orderan', 'seperti', 'apa', 'itu', 'kayak', 'menerima', 'orderan', 'tapi', 'juga', 'menjalankan', 'orderan', 'lain', 'seperti', 'pesanan', 'dan', 'lain', 'lain', 'maxim', 'hanya', 'asal', 'terima', 'orderan', 'mereka', 'bilang', 'kendaraan', 'jadi', 'kendala', 'untuk', 'pergi', 'ke', 'tujuan', 'dan', 'minta', 'untuk', 'di', 'batalkan', 'tapi', 'ketika', 'di', 'batalkan', 'mereka', 'tetap', 'konfir', 'lagi']","['maxim', 'area', 'gorontalo', 'profesional', 'kerja', 'contoh', 'banyak', 'maxim', 'kadang', 'sendiri', 'bhkan', 'sering', 'bawa', 'orang', 'bhkan', 'tda', 'sangkut', 'paut', 'kerja', 'maxim', 'terlalu', 'paksa', 'order', 'apa', 'kayak', 'terima', 'order', 'jalan', 'order', 'pesan', 'maxim', 'asal', 'terima', 'order', 'bilang', 'kendara', 'jadi', 'kendala', 'pergi', 'tuju', 'minta', 'batal', 'batal', 'tetap', 'konfir']"
