no_stopwords,stemmed_text
"['sangat', 'kecewa', 'aplikasi', 'yg', 'sebaik', 'ternyata', 'kesulitan', 'melakukan', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'developer', 'mohon', 'diperbaiki', 'segala', 'sistem', 'yg', 'berhubungan', 'pembayaran', 'non', 'tunai', 'top', 'up', 'saldo', 'masuk', 'jam', 'menunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']","['sangat', 'kecewa', 'aplikasi', 'yg', 'baik', 'nyata', 'sulit', 'laku', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'developer', 'mohon', 'baik', 'segala', 'sistem', 'yg', 'hubung', 'bayar', 'non', 'tunai', 'top', 'up', 'saldo', 'masuk', 'jam', 'tunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']"
"['apapun', 'gaakan', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'gajelas']","['apa', 'gaakan', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'gajelas']"
"['susah', 'dapet', 'driver', 'mobil', 'daerah', 'jateng', 'mobile', 'map', 'banyak', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'harga', 'yg', 'tetapkan', 'pihak', 'maxim', 'payah', 'ga', 'sepadan', 'sama', 'kompetitor', 'nya']","['susah', 'dapet', 'driver', 'mobil', 'daerah', 'jateng', 'mobile', 'map', 'banyak', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'harga', 'yg', 'tetap', 'pihak', 'maxim', 'payah', 'ga', 'padan', 'sama', 'kompetitor', 'nya']"
"['perjalanan', 'yg', 'pilih', 'sekali', 'jalan', 'tiba', 'tagihannya', 'kali', 'lipat', 'pas', 'tanya', 'driver', 'katanya', 'aplikasi', 'padahal', 'jelas', 'sekali', 'jalan', 'masa', 'aplikasi', 'berubah', 'tiba', 'bermasalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'sesuai', 'aplikasi', 'memilih', 'sekali', 'perjalanan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'terjadi']","['jalan', 'yg', 'pilih', 'sekali', 'jalan', 'tiba', 'tagih', 'kali', 'lipat', 'pas', 'tanya', 'driver', 'kata', 'aplikasi', 'padahal', 'jelas', 'sekali', 'jalan', 'masa', 'aplikasi', 'ubah', 'tiba', 'masalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'sesuai', 'aplikasi', 'pilih', 'sekali', 'jalan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'jadi']"
"['lah', 'kalau', 'ngasih', 'kendaraan', 'jangan', 'jauh']","['lah', 'kalau', 'ngasih', 'kendara', 'jangan', 'jauh']"
"['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'batalkan', 'sama', 'sistem', 'lemot', 'banget', 'asli']","['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'batal', 'sama', 'sistem', 'lot', 'banget', 'asli']"
"['ojek', 'abal', 'kebanyakan', 'tipu']","['ojek', 'abal', 'banyak', 'tipu']"
"['masa', 'pesen', 'makanan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']","['masa', 'sen', 'makan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']"
"['isi', 'saldo', 'maxim', 'wallet', 'bukti', 'transfer', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'perbantuan', 'nya']","['isi', 'saldo', 'maxim', 'wallet', 'bukti', 'transfer', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'bantu', 'nya']"
"['ga', 'login']","['ga', 'login']"
"['lama', 'masuk', 'top', 'up', 'nya']","['lama', 'masuk', 'top', 'up', 'nya']"
"['tarif', 'dikasih', 'kaga', 'dikasih', 'kembalian', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'pusing', 'kalo', 'mau', 'make']","['tarif', 'kasih', 'kaga', 'kasih', 'kembali', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'pusing', 'kalo', 'mau', 'make']"
"['driver', 'nya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']","['driver', 'nya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']"
"['apk', 'minta', 'kode', 'pake', 'no', 'telp', 'kirim', 'kode', 'otppadahal', 'langanan', 'maxim']","['apk', 'minta', 'kode', 'pake', 'no', 'telp', 'kirim', 'kode', 'otppadahal', 'langanan', 'maxim']"
"['pelayanan', 'sangat', 'memuaskan']","['layan', 'sangat', 'muas']"
"['penipuan', 'dikasih', 'saldo', 'saldonya', 'ga', 'dipake']","['tipu', 'kasih', 'saldo', 'saldo', 'ga', 'dipake']"
"['saldonya', 'ga', 'pake', 'huuuuuuu']","['saldo', 'ga', 'pake', 'huuuuuuu']"
"['gabisa', 'pake', 'saldonya']","['gabisa', 'pake', 'saldo']"
"['pekerjanya', 'terlalu', 'memaksa', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']","['kerja', 'terlalu', 'paksa', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']"
"['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'sering', 'nya', 'tolak', 'driver']","['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'sering', 'nya', 'tolak', 'driver']"
"['driver', 'sopan', 'nunggu', 'suka', 'lamaaa']","['driver', 'sopan', 'nunggu', 'suka', 'lamaaa']"
