no_stopwords,stemmed_text
"['aplikasi', 'bosok', 'ga', 'driver', 'segitu', 'banyak', 'satu', 'tempat', 'gada', 'yg', 'acc', 'posisi', 'mau', 'nganterin', 'ibu', 'igd', 'driver', 'nya', 'gada', 'yg', 'acc', 'hampir', 'setengah', 'jam', 'lebih']","['aplikasi', 'bosok', 'ga', 'driver', 'segitu', 'banyak', 'satu', 'tempat', 'gada', 'yg', 'acc', 'posisi', 'mau', 'nganterin', 'ibu', 'igd', 'driver', 'nya', 'gada', 'yg', 'acc', 'hampir', 'tengah', 'jam', 'lebih']"
"['apk', 'buruk']","['apk', 'buruk']"
"['update', 'lah', 'maps', 'nya', 'biar', 'mencari', 'sesuai', 'titik', 'akurat', 'bukan', 'cari', 'sendiri', 'rute', 'jalan', 'nya']","['update', 'lah', 'maps', 'nya', 'biar', 'cari', 'sesuai', 'titik', 'akurat', 'bukan', 'cari', 'sendiri', 'rute', 'jalan', 'nya']"
"['najis', 'aplikasi', 'apaan', 'katanya', 'dapet', 'rb', 'ga', 'jelas', 'lo', 'hoax', 'banget', 'najis']","['najis', 'aplikasi', 'apa', 'kata', 'dapet', 'rb', 'ga', 'jelas', 'lo', 'hoax', 'banget', 'najis']"
"['drivernya', 'angkuh', 'semua', 'emosian', 'mulu']","['drivernya', 'angkuh', 'semua', 'emosi', 'mulu']"
"['kalau', 'pesen', 'jarang', 'dapet', 'yg', 'bener', 'deh']","['kalau', 'sen', 'jarang', 'dapet', 'yg', 'bener', 'deh']"
"['paraaaaaahhhhhhhh', 'jangan', 'download', 'aplikasi', 'eror']","['paraaaaaahhhhhhhh', 'jangan', 'download', 'aplikasi', 'eror']"
"['nasib', 'driver', 'gk', 'pikir', 'jualan', 'jaket', 'helm', 'yg', 'paling', 'penting']","['nasib', 'driver', 'gk', 'pikir', 'jual', 'jaket', 'helm', 'yg', 'paling', 'penting']"
"['maxim', 'penipu', 'disuruh', 'masukin', 'kode', 'malah', 'ga', 'aktifin', 'udah', 'nunggu', 'seminggu']","['maxim', 'tipu', 'suruh', 'masukin', 'kode', 'malah', 'ga', 'aktifin', 'udah', 'nunggu', 'minggu']"
"['aplikasi', 'menyediakan', 'ewalet', 'bernama', 'kaspro', 'banyak', 'driver', 'membatalkan', 'orderan', 'memakai', 'kaspro', 'diperbaiki', 'pelayanannya', 'terimakasih']","['aplikasi', 'sedia', 'ewalet', 'nama', 'kaspro', 'banyak', 'driver', 'batal', 'order', 'pakai', 'kaspro', 'baik', 'layan', 'terimakasih']"
"['gak', 'log', 'in', 'apk', 'maxim', 'customer', 'menerima', 'kode', 'otp', 'log', 'in']","['gak', 'log', 'in', 'apk', 'maxim', 'customer', 'terima', 'kode', 'otp', 'log', 'in']"
"['keranjang', 'pesan', 'makanan', 'tdk', 'kebuka', 'sama', 'skli']","['keranjang', 'pesan', 'makan', 'tdk', 'buka', 'sama', 'skli']"
"['driver', 'maxim', 'penipu', 'suami', 'kena', 'scam', 'tarif', 'aplikasi', 'rb', 'minta', 'uang', 'rb', 'biaya', 'parkir', 'padahal', 'biaya', 'parkirnya', 'rb', 'suami', 'ngga', 'tau', 'bukan', 'warga', 'setempat']","['driver', 'maxim', 'tipu', 'suami', 'kena', 'scam', 'tarif', 'aplikasi', 'rb', 'minta', 'uang', 'rb', 'biaya', 'parkir', 'padahal', 'biaya', 'parkir', 'rb', 'suami', 'ngga', 'tau', 'bukan', 'warga', 'tempat']"
"['saa', 'kecewa', 'isi', 'saldo', 'wallet', 'banyak', 'driver', 'banyak', 'menolakniat', 'hati', 'mau', 'dipakai', 'tiap', 'hari', 'dikendari', 'malah', 'jadi', 'saldo', 'mati', 'auto', 'balik', 'pake', 'go', 'jek']","['saa', 'kecewa', 'isi', 'saldo', 'wallet', 'banyak', 'driver', 'banyak', 'menolakniat', 'hati', 'mau', 'pakai', 'tiap', 'hari', 'dikendari', 'malah', 'jadi', 'saldo', 'mati', 'auto', 'balik', 'pake', 'go', 'jek']"
"['uang', 'hilang', 'maxim', 'wallet']","['uang', 'hilang', 'maxim', 'wallet']"
"['sering', 'bug']","['sering', 'bug']"
"['gimana', 'sihpesen', 'makanan', 'mau', 'batalin', 'tp', 'g', 'bisamaksa', 'banget', 'klo', 'ngefoodyg', 'namanya', 'batal', 'ga', 'jadi', 'order', 'bukan', 'malah', 'ngasih', 'pilihan', 'ubah', 'order', 'naikin', 'harga', 'order']","['gimana', 'sihpesen', 'makan', 'mau', 'batalin', 'tp', 'g', 'bisamaksa', 'banget', 'klo', 'ngefoodyg', 'nama', 'batal', 'ga', 'jadi', 'order', 'bukan', 'malah', 'ngasih', 'pilih', 'ubah', 'order', 'naikin', 'harga', 'order']"
"['gak', 'login', 'nomor', 'padahal', 'nomornya', 'bener']","['gak', 'login', 'nomor', 'padahal', 'nomor', 'bener']"
"['aplikasi', 'tololbanyak', 'driver', 'lo', 'yg', 'olat', 'gak', 'sesuaimotor', 'nya', 'gak', 'sesuai', 'aplikasitolol', 'banget', 'dahdah', 'kek', 'mau', 'maling', 'aja']","['aplikasi', 'tololbanyak', 'driver', 'lo', 'yg', 'olat', 'gak', 'sesuaimotor', 'nya', 'gak', 'sesuai', 'aplikasitolol', 'banget', 'dahdah', 'kek', 'mau', 'maling', 'aja']"
"['bug', 'system']","['bug', 'system']"
"['driver', 'maxim', 'semakin', 'hari', 'semakin', 'suka', 'khususnya', 'driver', 'mobil', 'bukan', 'kasar', 'suka', 'menaikkan', 'harga', 'sekejab', 'bukan', 'ribuan', 'sampe', 'ratusan', 'khususnya', 'driver', 'atas', 'nama', 'roland', 'm', 'sau', 'daihatsu', 'sigra', 'wrna', 'putih', 'nopol', 'dhdk', 'naikkan', 'harga', 'bukan', 'main', 'yg', 'harga', 'awalnya', 'rp', 'jadi', 'rp', 'padahal', 'orang', 'hnya', 'ad', 'keyboard', 'gereja', 'yg', 'dibawa', 'ubah', 'jadi', 'cargo', 'notice', 'orang', 'memakan', 'banyak', 'korban']","['driver', 'maxim', 'makin', 'hari', 'makin', 'suka', 'khusus', 'driver', 'mobil', 'bukan', 'kasar', 'suka', 'naik', 'harga', 'jab', 'bukan', 'ribu', 'sampe', 'ratus', 'khusus', 'driver', 'atas', 'nama', 'roland', 'm', 'sau', 'daihatsu', 'sigra', 'wrna', 'putih', 'nopol', 'dhdk', 'naik', 'harga', 'bukan', 'main', 'yg', 'harga', 'awal', 'rp', 'jadi', 'rp', 'padahal', 'orang', 'hnya', 'ad', 'keyboard', 'gereja', 'yg', 'bawa', 'ubah', 'jadi', 'cargo', 'notice', 'orang', 'makan', 'banyak', 'korban']"
"['driver', 'maxim', 'khususnya', 'driver', 'mobil', 'suka', 'menaikkan', 'harga', 'maxim', 'persetujuan', 'customer', 'yg', 'sbnrnya', 'ad', 'perubahan', 'rute', 'tiba', 'harga', 'mendadak', 'naik', 'bukan', 'ribuan', 'puluhan', 'driver', 'mobil', 'suka', 'marah', 'ngomong', 'kasar', 'suka', 'batalkan', 'orderan', 'sesuka', 'diberi', 'perhatian', 'khusus', 'driver', 'mobil']","['driver', 'maxim', 'khusus', 'driver', 'mobil', 'suka', 'naik', 'harga', 'maxim', 'tuju', 'customer', 'yg', 'sbnrnya', 'ad', 'ubah', 'rute', 'tiba', 'harga', 'dadak', 'naik', 'bukan', 'ribu', 'puluh', 'driver', 'mobil', 'suka', 'marah', 'ngomong', 'kasar', 'suka', 'batal', 'order', 'suka', 'beri', 'perhati', 'khusus', 'driver', 'mobil']"
"['sekrg', 'maxim', 'ni', 'byk', 'main', 'minta', 'cancel', 'ajha', 'pengemudinya', 'jadi', 'makin', 'susah', 'kalo', 'mau', 'cepat', 'banyak', 'alasan', 'yg', 'jauh', 'lah', 'gk', 'jemput', 'lah', 'bahkan', 'yg', 'dtg', 'org', 'mobil', 'entah', 'istri', 'siapa', 'makin', 'pusing', 'bikin', 'mood', 'gk', 'baik', 'bukan', 'sekalidua', 'kali', 'sering', 'terjadi', 'coba', 'komenan', 'evaluasi', 'ajha', 'malas', 'mau', 'kasih', 'penilaian', 'aplikasi', 'nya', 'langsung', 'kasian', 'lihat', 'muka', 'org', 'nya']","['sekrg', 'maxim', 'ni', 'byk', 'main', 'minta', 'cancel', 'ajha', 'mud', 'jadi', 'makin', 'susah', 'kalo', 'mau', 'cepat', 'banyak', 'alas', 'yg', 'jauh', 'lah', 'gk', 'jemput', 'lah', 'bahkan', 'yg', 'dtg', 'org', 'mobil', 'entah', 'istri', 'siapa', 'makin', 'pusing', 'bikin', 'mood', 'gk', 'baik', 'bukan', 'sekalidua', 'kali', 'sering', 'jadi', 'coba', 'komenan', 'evaluasi', 'ajha', 'malas', 'mau', 'kasih', 'nilai', 'aplikasi', 'nya', 'langsung', 'kasi', 'lihat', 'muka', 'org', 'nya']"
"['kode', 'verif', 'doang', 'susah']","['kode', 'verif', 'doang', 'susah']"
"['sistem', 'distributor', 'maxim', 'sangat', 'adil', 'payah', 'huh']","['sistem', 'distributor', 'maxim', 'sangat', 'adil', 'payah', 'huh']"
"['jelek', 'ma', 'qb']","['jelek', 'ma', 'qb']"
"['kurang', 'sopan', 'drivernya', 'arahkan', 'jalan', 'plng', 'tp', 'tdk', 'terima', 'bilangnya', 'terlalu', 'jauh', 'padahal', 'mengindari', 'kemacetan', 'tp', 'driver', 'tdk', 'terima', 'bilang', 'terlalu', 'jauh', 'murah', 'harga', 'padahal', 'sesuai', 'aplikasi', 'harganga']","['kurang', 'sopan', 'drivernya', 'arah', 'jalan', 'plng', 'tp', 'tdk', 'terima', 'bilang', 'terlalu', 'jauh', 'padahal', 'mengindari', 'macet', 'tp', 'driver', 'tdk', 'terima', 'bilang', 'terlalu', 'jauh', 'murah', 'harga', 'padahal', 'sesuai', 'aplikasi', 'harganga']"
"['mohon', 'pihak', 'developer', 'menambahkan', 'jarak', 'tempuh', 'titik', 'awal', 'titik', 'akhir', 'penambahan', 'otomatis', 'ongkir', 'sistem', 'ongkir', 'sesuai', 'jarak', 'driver', 'manusia', 'bukan', 'robot', 'mohon', 'jangan', 'samakan', 'prio', 'non', 'prio', 'potongan', 'komisi', 'tinggi', 'pelanggan', 'terhormat', 'perlu', 'mengetahui', 'kalau', 'potongan', 'komisi', 'maxim', 'driver', 'sangat', 'tinggi', 'jadi', 'kadang', 'untungan', 'driver', 'separuhnya', 'mengisi', 'bensin']","['mohon', 'pihak', 'developer', 'tambah', 'jarak', 'tempuh', 'titik', 'awal', 'titik', 'akhir', 'tambah', 'otomatis', 'ongkir', 'sistem', 'ongkir', 'sesuai', 'jarak', 'driver', 'manusia', 'bukan', 'robot', 'mohon', 'jangan', 'sama', 'prio', 'non', 'prio', 'potong', 'komisi', 'tinggi', 'langgan', 'hormat', 'perlu', 'tahu', 'kalau', 'potong', 'komisi', 'maxim', 'driver', 'sangat', 'tinggi', 'jadi', 'kadang', 'untung', 'driver', 'paruh', 'isi', 'bensin']"
"['tingkatkan', 'sistemnyaagar', 'orang', 'membuat', 'orderan', 'memberi', 'izin', 'hubungi', 'nomornya', 'banyak', 'punya', 'hati', 'suka', 'membuat', 'driver', 'menunggu', 'ujungujungnya', 'membatalkan', 'orderan', 'alasan', 'yg', 'jelassemoga', 'segera', 'perbaiki', 'mendengar', 'keluhan', 'driver']","['tingkat', 'sistemnyaagar', 'orang', 'buat', 'order', 'beri', 'izin', 'hubung', 'nomor', 'banyak', 'punya', 'hati', 'suka', 'buat', 'driver', 'tunggu', 'ujungujungnya', 'batal', 'order', 'alas', 'yg', 'jelassemoga', 'segera', 'baik', 'dengar', 'keluh', 'driver']"
"['dulu', 'pertama', 'kali', 'maxim', 'bagus', 'murahtp', 'x', 'make', 'parah', 'bgt', 'udah', 'tau', 'penumpang', 'hbs', 'dr', 'rs', 'lahrn', 'sc', 'bawa', 'bayi', 'nahan', 'perut', 'sakit', 'j', 'jlnnya', 'ugalan', 'minta', 'pelan', 'tetep', 'j', 'jln', 'nya', 'makin', 'kenceng', 'dah', 'gitu', 'mobile', 'kotor', 'bau', 'kecewa', 'pokoknya']","['dulu', 'pertama', 'kali', 'maxim', 'bagus', 'murahtp', 'x', 'make', 'parah', 'bgt', 'udah', 'tau', 'tumpang', 'hbs', 'dr', 'rs', 'lahrn', 'sc', 'bawa', 'bayi', 'nahan', 'perut', 'sakit', 'j', 'jlnnya', 'ugalan', 'minta', 'pelan', 'tetep', 'j', 'jln', 'nya', 'makin', 'kenceng', 'dah', 'gitu', 'mobile', 'kotor', 'bau', 'kecewa', 'pokok']"
"['order', 'ojek', 'ga', 'padahal', 'driver', 'banyak']","['order', 'ojek', 'ga', 'padahal', 'driver', 'banyak']"
"['jemput', 'macim', 'nya', 'terlalu', 'lama', 'org', 'nge', 'driver', 'ternyata', 'mata', 'uang', 'kali', 'perbaiki']","['jemput', 'macim', 'nya', 'terlalu', 'lama', 'org', 'nge', 'driver', 'nyata', 'mata', 'uang', 'kali', 'baik']"
"['kdang', 'eror']","['kdang', 'eror']"
['scam'],['scam']
"['susah', 'pake', 'susah', 'nentuin', 'titik', 'tempat', 'jauh']","['susah', 'pake', 'susah', 'nentuin', 'titik', 'tempat', 'jauh']"
"['akun', 'gk', 'masukin']","['akun', 'gk', 'masukin']"
"['uninstall', 'oknum', 'driver', 'maxim', 'pekan', 'baru', 'disenggol', 'kresek', 'krupuk', 'ibukibuk', 'putus', 'mitra', 'pakai', 'maxim']","['uninstall', 'oknum', 'driver', 'maxim', 'pekan', 'baru', 'senggol', 'kresek', 'krupuk', 'ibukibuk', 'putus', 'mitra', 'pakai', 'maxim']"
"['terima', 'kasij', 'amanah']","['terima', 'kasij', 'amanah']"
"['sangat', 'memuaskan', 'kan', 'khusus', 'nya', 'bagian', 'login']","['sangat', 'muas', 'kan', 'khusus', 'nya', 'bagi', 'login']"
"['selalu', 'lambat']","['selalu', 'lambat']"
"['tarif', 'nya', 'lebih', 'murah', 'dibandingkan', 'yg', 'app', 'nya', 'sulit', 'membaca', 'd', 'titik', 'penjemputan', 'tujuanklw', 'd', 'app', 'sebelah', 'tinggal', 'd', 'ketik', 'aja', 'lgsg', 'muncultrs', 'history', 'perjalanannya', 'jg', 'amburadulall', 'in', 'pengalaman', 'mnggunakan', 'app', 'bikin', 'kesel']","['tarif', 'nya', 'lebih', 'murah', 'banding', 'yg', 'app', 'nya', 'sulit', 'baca', 'd', 'titik', 'jemput', 'tujuanklw', 'd', 'app', 'belah', 'tinggal', 'd', 'ketik', 'aja', 'lgsg', 'muncultrs', 'history', 'jalan', 'jg', 'amburadulall', 'in', 'alam', 'mnggunakan', 'app', 'bikin', 'kesel']"
"['makin', 'kesini', 'ni', 'apk', 'makin', 'gajelasmakin', 'ribet']","['makin', 'kesini', 'ni', 'apk', 'makin', 'gajelasmakin', 'ribet']"
"['hari', 'didepan', 'rs', 'ananda', 'kranji', 'bekasi', 'motor', 'vega', 'hitam', 'ugalan', 'ditegur', 'emosian', 'motor', 'ditendang', 'ojol', 'maxim', 'melarikan', 'diri', 'lebih', 'teliti', 'mencari', 'drivernya']","['hari', 'depan', 'rs', 'ananda', 'kranji', 'bekas', 'motor', 'vega', 'hitam', 'ugalan', 'tegur', 'emosi', 'motor', 'tendang', 'ojol', 'maxim', 'lari', 'diri', 'lebih', 'teliti', 'cari', 'drivernya']"
"['udah', 'terlanjur', 'isi', 'wallet', 'eh', 'ga', 'pake', 'pesen', 'car', 'minta', 'cash', 'makanan', 'trs', 'saldonya', 'kurang', 'sendiri', 'payah']","['udah', 'lanjur', 'isi', 'wallet', 'eh', 'ga', 'pake', 'sen', 'car', 'minta', 'cash', 'makan', 'trs', 'saldo', 'kurang', 'sendiri', 'payah']"
"['jangan', 'download', 'aplikasi', 'penipu']","['jangan', 'download', 'aplikasi', 'tipu']"
"['total', 'harga', 'aplikasi', 'total', 'yg', 'bayar', 'driver', 'ga', 'jelas', 'najis']","['total', 'harga', 'aplikasi', 'total', 'yg', 'bayar', 'driver', 'ga', 'jelas', 'najis']"
"['apk', 'jelek']","['apk', 'jelek']"
"['aplikasi', 'nya', 'buruk', 'masa', 'baru', 'download', 'udah', 'tbtb', 'pesen', 'ajah', 'terus', 'bicara', 'baik', 'malah', 'minta', 'ganti', 'rugi']","['aplikasi', 'nya', 'buruk', 'masa', 'baru', 'download', 'udah', 'tbtb', 'sen', 'ajah', 'terus', 'bicara', 'baik', 'malah', 'minta', 'ganti', 'rugi']"
"['bner', 'dikit', 'napa', 'aplikasi', 'loding', 'trus', 'sinyal', 'bagus', 'no', 'hp', 'aktif', 'apa', 'sih', 'ngak', 'jelas', 'maxim']","['bner', 'dikit', 'napa', 'aplikasi', 'loding', 'trus', 'sinyal', 'bagus', 'no', 'hp', 'aktif', 'apa', 'sih', 'ngak', 'jelas', 'maxim']"
"['sangat', 'benci', 'sama', 'driver', 'mobil', 'selalu', 'menambah', 'uang', 'walaupun', 'mampir', 'sebentar', 'toko', 'udah', 'kembalian', 'pernah', 'diberikan']","['sangat', 'benci', 'sama', 'driver', 'mobil', 'selalu', 'tambah', 'uang', 'walaupun', 'mampir', 'sebentar', 'toko', 'udah', 'kembali', 'pernah', 'beri']"
"['bm', 'vf', 'yg', 'minta', 'ganti', 'rugi']","['bm', 'vf', 'yg', 'minta', 'ganti', 'rugi']"
['telat'],['telat']
"['kode', 'verifnya', 'yg', 'bnerrr']","['kode', 'verifnya', 'yg', 'bnerrr']"
"['diinstal', 'dg', 'alasan', 'yg', 'masuk', 'akal']","['diinstal', 'dg', 'alas', 'yg', 'masuk', 'akal']"
['bosok'],['bosok']
"['update', 'udah', 'pesan', 'driver', 'aplikasi', 'yaa', 'udah', 'driver', 'chat', 'driver', 'masuk', 'aplikasi', 'dibuka']","['update', 'udah', 'pesan', 'driver', 'aplikasi', 'yaa', 'udah', 'driver', 'chat', 'driver', 'masuk', 'aplikasi', 'buka']"
"['pake', 'aplikasi', 'drivernya', 'malah', 'ngajak', 'debat', 'agama']","['pake', 'aplikasi', 'drivernya', 'malah', 'ngajak', 'debat', 'agama']"
"['tiba', 'error', 'gaje']","['tiba', 'error', 'gaje']"
"['kadang', 'eror', 'sendiri', 'mohon', 'diperbaiki', 'soalnya', 'sangat', 'menyusahkan', 'banget', 'maxim', 'tiba', 'tiba', 'eror', 'sendiri', 'pas', 'gk', 'dijemput']","['kadang', 'eror', 'sendiri', 'mohon', 'baik', 'soal', 'sangat', 'susah', 'banget', 'maxim', 'tiba', 'tiba', 'eror', 'sendiri', 'pas', 'gk', 'jemput']"
"['gaje', 'nih', 'maxim', 'minta', 'kode', 'verifikasi', 'gk', 'dpt']","['gaje', 'nih', 'maxim', 'minta', 'kode', 'verifikasi', 'gk', 'dpt']"
"['bagus', 'si', 'kok', 'tiba', 'tiba', 'suru', 'ngisi', 'nomor', 'ulang', 'lah', 'data', 'ulang', 'padahal', 'udh', 'bener', 'tetap', 'ga']","['bagus', 'si', 'kok', 'tiba', 'tiba', 'suru', 'ngisi', 'nomor', 'ulang', 'lah', 'data', 'ulang', 'padahal', 'udh', 'bener', 'tetap', 'ga']"
"['daftar', 'nya', 'ribet', 'lambat', 'pengiriman', 'otp', 'login']","['daftar', 'nya', 'ribet', 'lambat', 'kirim', 'otp', 'login']"
"['ga', 'login', 'mesen']","['ga', 'login', 'mesen']"
"['bermasalah', 'yaasaya', 'mau', 'pesan', 'maximnya']","['masalah', 'yaasaya', 'mau', 'pesan', 'maximnya']"
"['tibatiba', 'log', 'out', 'sendiri', 'digunakan', 'aplikasinya', 'perbaiki']","['tibatiba', 'log', 'out', 'sendiri', 'guna', 'aplikasi', 'baik']"
['ganguan'],['ganguan']
"['maaf', 'maxim', 'layanan', 'kaspro', 'non', 'tunai', 'maxim', 'sangat', 'buruk', 'top', 'up', 'dana', 'langsung', 'masuk', 'jarus', 'nunggu', 'beberapa', 'jam', 'bahkan', 'x', 'jam', 'dana', 'masuk', 'ewalletnya', 'yaa', 'tingkatkan', 'layananya', 'kalau', 'memang', 'mau', 'pakai', 'ewallet', 'jangan', 'setengah', 'begini', 'jadi', 'fokus', 'pihak', 'maxim', 'meningkatkan', 'layanan', 'terutama', 'pembayaran', 'non', 'tunainya']","['maaf', 'maxim', 'layan', 'kaspro', 'non', 'tunai', 'maxim', 'sangat', 'buruk', 'top', 'up', 'dana', 'langsung', 'masuk', 'jarus', 'nunggu', 'beberapa', 'jam', 'bahkan', 'x', 'jam', 'dana', 'masuk', 'ewalletnya', 'yaa', 'tingkat', 'layananya', 'kalau', 'memang', 'mau', 'pakai', 'ewallet', 'jangan', 'tengah', 'begini', 'jadi', 'fokus', 'pihak', 'maxim', 'tingkat', 'layan', 'utama', 'bayar', 'non', 'tunai']"
"['akun', 'kok', 'tiba', 'tiba', 'log', 'out']","['akun', 'kok', 'tiba', 'tiba', 'log', 'out']"
"['apk', 'tolol', 'mau', 'login', 'kirim', 'otp', 'aja', 'lama', 'taik']","['apk', 'tolol', 'mau', 'login', 'kirim', 'otp', 'aja', 'lama', 'taik']"
['login'],['login']
"['driver', 'aplikasi', 'sangat', 'buruksumpah', 'jelek', 'banget', 'guys', 'mending', 'jangan', 'pakai', 'maximdownload', 'gojek', 'aja', 'kalo', 'kataku']","['driver', 'aplikasi', 'sangat', 'buruksumpah', 'jelek', 'banget', 'guys', 'mending', 'jangan', 'pakai', 'maximdownload', 'gojek', 'aja', 'kalo', 'kata']"
"['maxim', 'duri', 'kok', 'begini', 'yabaru', 'jam', 'siangmau', 'order', 'makanan', 'aja', 'susahgak', 'terima', 'orderanaduhh']","['maxim', 'duri', 'kok', 'begini', 'yabaru', 'jam', 'siangmau', 'order', 'makan', 'aja', 'susahgak', 'terima', 'orderanaduhh']"
"['dibawah', 'rb', 'gak', 'yg', 'mau', 'ambil', 'orderan']","['bawah', 'rb', 'gak', 'yg', 'mau', 'ambil', 'order']"
"['sampah', 'banget', 'aplikasi', 'cara', 'lakukan', 'apa', 'bingung', 'banget', 'bakan', 'pesan', 'makan', 'coba', 'gagal', 'ga', 'bingung', 'jangan', 'pake', 'maxim', 'pake', 'grab', 'aj']","['sampah', 'banget', 'aplikasi', 'cara', 'laku', 'apa', 'bingung', 'banget', 'bak', 'pesan', 'makan', 'coba', 'gagal', 'ga', 'bingung', 'jangan', 'pake', 'maxim', 'pake', 'grab', 'aj']"
"['gimana', 'sih', 'mau', 'minta', 'otorisasi', 'ngga', 'pesan', 'ngga', 'dikirim', 'udah', 'pilih', 'telpon', 'ngga', 'bilang', 'apa', 'apa', 'langsung', 'dimatiin', 'pas', 'dicoba', 'bilang', 'nomornya', 'terlalu', 'sering', 'minta', 'otorisasi', 'jadi', 'ngga', 'minta', 'padahal', 'kan', 'salah', 'sistemnya', 'solusinya']","['gimana', 'sih', 'mau', 'minta', 'otorisasi', 'ngga', 'pesan', 'ngga', 'kirim', 'udah', 'pilih', 'telpon', 'ngga', 'bilang', 'apa', 'apa', 'langsung', 'dimatiin', 'pas', 'coba', 'bilang', 'nomor', 'terlalu', 'sering', 'minta', 'otorisasi', 'jadi', 'ngga', 'minta', 'padahal', 'kan', 'salah', 'sistem', 'solusi']"
"['yaa', 'kok', 'tiba', 'keluar', 'sendirii', 'mau', 'login', 'kembalii', 'malah', 'nggk', 'nomor', 'benar', 'ganti', 'nomor', 'tetap', 'gk', 'masuk', 'kode', 'nya', 'gk', 'masuk', 'lewat', 'panggilan', 'sama', 'aja', 'gk', 'msuk', 'pdahal', 'nomor', 'sudab', 'benar', 'beberapa', 'nomor', 'cantumkan', 'tetap', 'gk', 'msuk', 'kodenya', 'diperbaiki', 'yaa']","['yaa', 'kok', 'tiba', 'keluar', 'sendiri', 'mau', 'login', 'kembali', 'malah', 'nggk', 'nomor', 'benar', 'ganti', 'nomor', 'tetap', 'gk', 'masuk', 'kode', 'nya', 'gk', 'masuk', 'lewat', 'panggil', 'sama', 'aja', 'gk', 'msuk', 'pdahal', 'nomor', 'sudab', 'benar', 'beberapa', 'nomor', 'cantum', 'tetap', 'gk', 'msuk', 'kode', 'baik', 'yaa']"
"['halo', 'medan', 'kemarin', 'tgl', 'sep', 'pake', 'maxim', 'express', 'barang', 'tujuan', 'minta', 'tanggung', 'jawab', 'nya', 'uda', 'lapor', 'gk', 'tanggapan', 'tlong', 'respon']","['halo', 'medan', 'kemarin', 'tgl', 'sep', 'pake', 'maxim', 'express', 'barang', 'tuju', 'minta', 'tanggung', 'jawab', 'nya', 'uda', 'lapor', 'gk', 'tanggap', 'tlong', 'respon']"
['ribu'],['ribu']
"['sangat', 'kecewa', 'karna', 'bayar', 'pakai', 'maxim', 'wallet', 'minta', 'uang', 'chas', 'alasan', 'diver', 'punya', 'aplikasi', 'maxim', 'walet', 'diver', 'bilang', 'saldo', 'terpotong', 'ternyata', 'saldonya', 'tetap', 'terpotong', 'chat', 'driver', 'katanya', 'mau', 'balikin', 'sekarang', 'balikin', 'harap', 'pihak', 'maxim', 'etikat', 'baik', 'buat', 'menindak', 'lanjuti', 'kasus']","['sangat', 'kecewa', 'karna', 'bayar', 'pakai', 'maxim', 'wallet', 'minta', 'uang', 'chas', 'alas', 'diver', 'punya', 'aplikasi', 'maxim', 'walet', 'diver', 'bilang', 'saldo', 'potong', 'nyata', 'saldo', 'tetap', 'potong', 'chat', 'driver', 'kata', 'mau', 'balikin', 'sekarang', 'balikin', 'harap', 'pihak', 'maxim', 'etikat', 'baik', 'buat', 'tindak', 'lanjut', 'kasus']"
"['kembalikan', 'uang', 'ibuk', 'k', 'buat', 'ganti', 'rugi', 'kresek', 'isi', 'krupuk', 'nya', 'cuma', 'nyengol', 'mobil', 'taxol', 'maxim', 'ngotak', 'dikit', 'lah', 'akhlak', 'drivernya', 'aja', 'gini', 'gimana', 'gak', 'sepi', 'customer']","['kembali', 'uang', 'ibuk', 'k', 'buat', 'ganti', 'rugi', 'kresek', 'isi', 'krupuk', 'nya', 'cuma', 'nyengol', 'mobil', 'taxol', 'maxim', 'ngotak', 'dikit', 'lah', 'akhlak', 'drivernya', 'aja', 'gin', 'gimana', 'gak', 'sepi', 'customer']"
"['login', 'aja', 'susah', 'bgt', 'kode', 'segala']","['login', 'aja', 'susah', 'bgt', 'kode', 'segala']"
"['driver', 'nya', 'ga', 'bener', 'admin', 'admin', 'ga', 'respon', 'zzzz']","['driver', 'nya', 'ga', 'bener', 'admin', 'admin', 'ga', 'respon', 'zzzz']"
"['jelek', 'banget', 'ahmassa', 'pilih', 'pilih', 'order', 'yg', 'harganya', 'tinggi', 'klo', 'kan', 'harganya', 'cuma', 'k', 'k', 'kan', 'apk', 'nya', 'sendiri', 'masa', 'sih', 'dih', 'skip', 'aj', 'sama', 'pengemudinyatolong', 'apk', 'maxim', 'bikin', 'lambat', 'aja', 'sekolahklo', 'gini', 'terus', 'males', 'pake', 'maximparah', 'banget', 'sih']","['jelek', 'banget', 'ahmassa', 'pilih', 'pilih', 'order', 'yg', 'harga', 'tinggi', 'klo', 'kan', 'harga', 'cuma', 'k', 'k', 'kan', 'apk', 'nya', 'sendiri', 'masa', 'sih', 'dih', 'skip', 'aj', 'sama', 'pengemudinyatolong', 'apk', 'maxim', 'bikin', 'lambat', 'aja', 'sekolahklo', 'gin', 'terus', 'males', 'pake', 'maximparah', 'banget', 'sih']"
"['akun', 'keluar', 'sendiri', 'malah', 'makin', 'parah', 'tdk', 'bsa', 'login']","['akun', 'keluar', 'sendiri', 'malah', 'makin', 'parah', 'tdk', 'bsa', 'login']"
"['bermasalah', 'trus', 'drivernya']","['masalah', 'trus', 'drivernya']"
