content,processed_text
"sebelumnya saya sendiri emg dpt pengalaman bagus dan ramah,tpi saya setiap kali mesenin maxim pacar saya, ada aja driver yg ngechat pacar saya,saya suruh bales tiba² drivernya ngaku dia yang tadi nganter dan tiba tiba bilang suka, sudah beberapa kali dapet driver modus dan genit sama pacar cewe saya, masih sma lho dan itu bapak² drivernya, tolong kalo bisa dikasi jera oknum driver seperti ini, banyakin yg ramah karna kalo keseringan jdi was was.","['belum', 'sendiri', 'emg', 'dpt', 'alam', 'bagus', 'ramahtpi', 'tiap', 'kali', 'mesenin', 'maxim', 'pacar', 'ada', 'aja', 'driver', 'yg', 'ngechat', 'pacar', 'sayasaya', 'suruh', 'bales', 'tiba', 'drivernya', 'ngaku', 'yang', 'tadi', 'nganter', 'tiba', 'tiba', 'bilang', 'suka', 'beberapa', 'kali', 'dapet', 'driver', 'modus', 'genit', 'sama', 'pacar', 'cewe', 'masih', 'sma', 'lho', 'itu', 'bapak', 'drivernya', 'kalo', 'kasi', 'jera', 'oknum', 'driver', 'ini', 'banyakin', 'yg', 'ramah', 'karna', 'kalo', 'sering', 'jdi', 'was', 'was']"
"Pesan makanan gak bisa dibatalin, bodoh. Cuman bisa edit ubah pesanan","['pesan', 'makan', 'gak', 'dibatalin', 'bodoh', 'cuman', 'edit', 'ubah', 'pesan']"
"Aplikasi tolll,mesan makanan susah banget pas di bagian keranjang,yg keluar cuman layar putih doang,gimana cara checkout nya kalo gitu","['aplikasi', 'tolllmesan', 'makan', 'susah', 'banget', 'pas', 'bagi', 'keranjangyg', 'keluar', 'cuman', 'layar', 'putih', 'doanggimana', 'cara', 'checkout', 'nya', 'kalo', 'gitu']"
good jobs,"['good', 'jobs']"
"Apk GK bermanfaat,mau daftar aja ribet banget, apalagi mau daftar Maxim food sempat kelaparan orang.","['apk', 'gk', 'bermanfaatmau', 'daftar', 'aja', 'ribet', 'banget', 'mau', 'daftar', 'maxim', 'food', 'sempat', 'lapar', 'orang']"
Pengantaran tidak sesuai lokasi...kesel banget,"['antar', 'sesuai', 'lokasikesel', 'banget']"
"Saran aja buat hrd driver maxim,tolong sebelum ngerekrut orang,itu kepribadian sama ahklak pelamar di tes juga,rata² driver maxim pada nyolot² dan ga beretika,kayak preman semua","['saran', 'aja', 'buat', 'hrd', 'driver', 'maximtolong', 'ngerekrut', 'orangitu', 'pribadi', 'sama', 'ahklak', 'lamar', 'tes', 'jugarata', 'driver', 'maxim', 'nyolot', 'ga', 'beretikakayak', 'preman', 'semua']"
Tolong di perbaiki saat saya sedang order pesanan tiba tiba aplikasinya log out dengan sendirinya dan saat saya coba log in berkali kali tidak bisa kasian ojek nya yang kira pesanan nya aktif tapi orang nya gak ada respon cuma gara gara apknya log out dengan sendirinya,"['di', 'baik', 'sedang', 'order', 'pesan', 'tiba', 'tiba', 'aplikasi', 'log', 'out', 'sendiri', 'saat', 'saya', 'coba', 'log', 'in', 'kali', 'kali', 'bisa', 'kasi', 'ojek', 'nya', 'kira', 'pesan', 'nya', 'aktif', 'orang', 'nya', 'gak', 'respon', 'cuma', 'gara', 'gara', 'apknya', 'log', 'out', 'sendiri']"
"Untuk keamanan dan kenyamanan konsumen tolong di perhatikan , bnyk akun Driver yang memakai akun berbeda dengan kendaraan. Orang yang datang beda dengan data akun aplikasi. Orang plat nomor kendaraan beda. Grab sama gojek selalu sesuai ini Maxim kenapa bisa seperti itu","['aman', 'nyaman', 'konsumen', 'di', 'perhati', 'bnyk', 'akun', 'driver', 'pakai', 'akun', 'beda', 'kendara', 'orang', 'datang', 'beda', 'data', 'akun', 'aplikasi', 'orang', 'plat', 'nomor', 'kendara', 'beda', 'grab', 'sama', 'gojek', 'selalu', 'sesuai', 'maxim', 'bisa', 'itu']"
Ms sy dblokir aplksi aneh,"['ms', 'sy', 'dblokir', 'aplksi', 'aneh']"
