hidden_dim,dropout,n_layers,learning_rate,batch_size,epoch,train_loss,train_acc,train_f1,valid_loss,valid_acc,valid_f1,time_mins,time_secs
64,0.3,2,0.001,32,1,0.406,81.381,0.679,0.258,89.062,0.836,0,19
64,0.3,2,0.001,32,2,0.183,92.876,0.891,0.261,88.312,0.832,0,16
64,0.3,2,0.001,32,3,0.091,97.002,0.953,0.252,89.438,0.843,0,14
64,0.3,2,0.001,32,4,0.052,98.374,0.974,0.288,89.312,0.841,0,15
64,0.3,2,0.001,32,5,0.031,98.923,0.983,0.41,89.5,0.846,0,15
64,0.3,2,0.001,32,6,0.022,99.282,0.989,0.387,89.5,0.838,0,14
64,0.3,2,0.001,32,7,0.014,99.409,0.991,0.446,89.062,0.841,0,14
64,0.3,2,0.001,32,8,0.014,99.578,0.993,0.427,89.812,0.844,0,14
64,0.3,2,0.001,32,9,0.005,99.852,0.998,0.553,88.562,0.835,0,14
64,0.3,2,0.001,32,10,0.005,99.894,0.998,0.637,89.188,0.832,0,15
64,0.3,2,0.001,64,1,0.51,75.851,0.512,0.287,86.908,0.811,0,13
64,0.3,2,0.001,64,2,0.213,91.494,0.87,0.246,88.809,0.816,0,12
64,0.3,2,0.001,64,3,0.109,96.295,0.942,0.263,90.364,0.851,0,13
64,0.3,2,0.001,64,4,0.064,98.121,0.97,0.267,90.184,0.849,0,12
64,0.3,2,0.001,64,5,0.042,98.67,0.979,0.289,89.879,0.847,0,12
64,0.3,2,0.001,64,6,0.036,98.818,0.981,0.345,89.309,0.828,0,12
64,0.3,2,0.001,64,7,0.021,99.345,0.99,0.406,89.871,0.844,0,12
64,0.3,2,0.001,64,8,0.008,99.81,0.997,0.523,89.511,0.844,0,12
64,0.3,2,0.001,64,9,0.011,99.747,0.996,0.381,89.809,0.841,0,13
64,0.3,2,0.001,64,10,0.006,99.894,0.998,0.532,89.629,0.833,0,12
64,0.3,2,0.0001,32,1,0.668,68.155,0.0,0.654,67.312,0.0,0,15
64,0.3,2,0.0001,32,2,0.576,72.492,0.33,0.432,79.562,0.645,0,14
64,0.3,2,0.0001,32,3,0.353,84.835,0.764,0.317,86.625,0.802,0,15
64,0.3,2,0.0001,32,4,0.258,90.245,0.851,0.284,88.312,0.824,0,14
64,0.3,2,0.0001,32,5,0.202,92.905,0.89,0.267,89.0,0.841,0,14
64,0.3,2,0.0001,32,6,0.155,95.017,0.922,0.263,88.375,0.847,0,14
64,0.3,2,0.0001,32,7,0.124,96.178,0.94,0.269,89.812,0.855,0,14
64,0.3,2,0.0001,32,8,0.101,97.149,0.955,0.282,89.812,0.853,0,14
64,0.3,2,0.0001,32,9,0.084,97.614,0.962,0.289,90.375,0.859,0,14
64,0.3,2,0.0001,32,10,0.07,98.079,0.97,0.286,90.438,0.862,0,20
64,0.3,2,0.0001,64,1,0.688,63.987,0.152,0.681,68.195,0.0,0,12
64,0.3,2,0.0001,64,2,0.671,68.188,0.0,0.659,68.195,0.0,0,13
64,0.3,2,0.0001,64,3,0.623,69.048,0.057,0.56,72.82,0.289,0,13
64,0.3,2,0.0001,64,4,0.451,82.702,0.708,0.383,84.728,0.78,0,12
64,0.3,2,0.0001,64,5,0.328,88.148,0.822,0.328,86.776,0.809,0,12
64,0.3,2,0.0001,64,6,0.263,90.745,0.862,0.304,87.221,0.818,0,12
64,0.3,2,0.0001,64,7,0.218,92.54,0.889,0.288,88.143,0.822,0,11
64,0.3,2,0.0001,64,8,0.181,94.258,0.912,0.281,88.831,0.833,0,12
64,0.3,2,0.0001,64,9,0.148,95.477,0.93,0.276,89.151,0.841,0,12
