Token,Frequency
maps,117
nyah,3
buat,210
lebih,189
detail,13
buruk,93
aplikasi,741
erorr,5
mulu,28
drivernya,280
ramah,566
baik,983
bagus,395
perlu,19
map,101
almt,1
google,21
tdk,54
pantau,4
jln,8
batua,2
raya,4
driver,1118
temu,20
sasar,1
sesuai,130
arah,20
konsumen,29
sangat,596
bantu,115
sekali,184
alhamdulillah,16
bapak,42
amanah,23
sehat,25
njeh,1
pak,60
moga,37
rezeki,11
makin,69
lancar,25
sukses,26
selalu,120
maxim,872
aplikasiatau,1
drivernyayg,1
main,19
ordersesuai,1
aplikasitp,1
stlah,1
nyampe,9
selesaidan,1
ubah,52
alamat,116
jemput,124
lokasi,108
tuju,151
dua,8
sama,280
isi,99
yg,524
satu,43
lokasikacaujd,1
g,24
melacakperjalanorang,1
bawadriver,1
takut,8
apa,140
pihat,2
maximbenahi,1
apliksinyaatau,1
jdi,30
coba,68
enak,56
bawa,69
nya,933
orang,153
nunggu,89
lama,243
konfirmasi,19
aja,263
terus,111
kali,163
gagal,12
gak,492
ngotak,6
customer,63
pagi,20
siang,6
sore,7
malam,19
udah,217
harga,206
murah,137
lo,15
murahin,1
rumah,37
gedong,2
elit,3
koret,1
gaya,5
ekonomi,4
sulit,37
brengsek,2
mau,486
naik,96
odong,2
jooss,2
mantap,275
dukung,3
ibu,21
kerupuk,8
palak,4
arogan,6
sih,71
saran,14
beri,41
fitur,50
rating,36
dong,88
kadang,43
sop,5
pakai,148
jaket,7
punya,43
uang,90
kembali,32
pernah,57
habis,23
bensin,11
tengah,15
jalan,169
jadi,250
telat,26
berangkat,12
kerja,70
gara,37
salah,72
baca,24
tulis,23
nyata,41
jauh,80
titik,164
maksud,7
biar,54
bayar,208
tunggu,82
nomor,97
aktifasi,1
error,51
castmar,1
otak,8
pasang,3
lw,1
oder,2
pijit,2
benar,41
kunci,2
cs,37
cansel,3
terima,187
kasih,240
top,85
hadir,3
memang,23
resah,4
krn,22
waktu,99
ogah,1
ambil,78
order,416
riwayat,6
jasa,16
transportasi,25
kasar,33
edukasi,4
utama,19
daerah,19
makassar,2
status,5
sedang,11
cari,149
sy,47
cancel,134
buru,27
lalu,30
tiba,115
banget,233
dapet,70
dah,43
jelas,159
loading,11
ngatangatain,1
lewat,41
chat,55
bahasa,4
kotor,6
bukan,59
cuman,28
waspada,1
banyak,234
oknumpenipuan,1
tipu,74
teror,2
aku,71
pihak,57
kode,160
otp,59
padahal,218
makasih,42
good,144
akun,77
tiap,25
trus,36
minta,217
masukmksdnya,1
nih,41
ribet,33
skali,4
on,5
time,6
sopan,105
dasar,9
tolol,50
ditungguin,2
gada,21
nerima,18
nolak,7
semua,56
gw,34
beli,24
perushaan,1
lu,17
pegang,3
lah,98
janji,6
dendam,3
usaha,20
tahun,9
bangkrut,4
saling,6
tolong,5
update,46
food,40
paket,17
instan,1
reguler,1
samday,1
kaya,36
tingkatin,4
jangan,77
ikut,12
contoh,10
grab,37
gojek,50
shopy,1
lalamove,1
cuma,61
bike,8
mohon,75
dengerlah,1
kau,16
kekmana,1
butuh,28
pas,143
hujan,33
kalau,121
tutup,23
apk,195
mending,55
pulak,2
mmatap,1
layan,274
oke,51
maaf,50
min,33
bintang,78
dulu,60
kalo,153
udh,99
ratingnya,1
karna,66
kok,62
ga,472
namain,2
masukin,24
nama,47
lengkap,25
tanggal,13
lahir,10
mencet,1
gabisa,53
gimana,56
kasi,36
respon,51
minnn,1
cara,27
atas,59
titij,1
app,19
jelek,97
muat,1
ulang,38
akhir,34
uninstal,10
trs,31
install,6
malah,263
masuk,217
verifikasi,48
sms,32
jadul,2
servernya,2
hrsnya,2
wa,21
via,15
tlp,13
mati,17
tlpnya,1
angkat,6
nieh,1
solusi,14
pusat,7
menu,18
ttp,21
hrs,4
login,131
terimakasih,139
kurang,112
akurat,35
guna,107
mudah,58
mahon,1
pa,5
gaje,2
ewallet,15
up,78
hedeh,1
tu,14
nakal,12
bgt,79
imbal,1
padhl,1
deket,18
nganter,8
barang,59
alesannya,3
kan,67
muter,12
dlu,12
mas,41
emg,7
gtu,6
klo,63
nganterin,5
mah,21
sendiri,65
jd,31
lipat,17
ny,47
seleksi,10
sering,130
lambat,33
kirim,82
bener,56
no,52
telp,10
sdh,29
sampe,72
terkadang,5
ditelp,1
cepat,160
nyaman,125
suoirnya,1
maximnya,12
kecewa,118
sekarang,56
pindah,16
ijo,13
si,52
belah,41
dapat,17
dri,24
perangkat,1
jangkau,18
hp,68
tinggal,32
dlm,9
mobil,151
hub,2
jaya,5
blokir,25
kuning,6
ugalan,15
jgn,16
dwonload,3
pake,167
walletmaxim,1
wallet,72
saldo,186
tp,92
gk,197
sungguh,5
aduh,2
gmana,3
inimsa,1
pesan,218
makan,116
loadinggak,1
bet,4
junaidi,1
plat,20
nomer,25
hyh,1
suruh,67
attitude,14
cewe,5
ngatain,3
nyupir,2
didatengin,2
marah,30
urus,6
nyaa,8
petaa,1
patok,5
peta,35
tambah,71
bingung,25
titika,1
diarahin,2
skrg,21
notifikasi,12
cuatomer,1
gj,2
gimna,6
alhasil,10
marahmarah,2
pdhal,8
sudh,1
tentu,14
nyasar,9
perhati,13
paling,32
nyusahin,10
driverkasian,1
tega,3
sm,18
carsdh,1
klik,18
jalantapi,1
ganti,51
smpai,2
x,37
rugi,80
bensinwaktu,1
mud,27
gooddriver,1
harge,1
indrivertapi,1
hanye,1
sahaje,1
susah,240
nak,4
driverkena,1
lameterimakasih,1
yee,1
maximvery,1
selesai,17
ngisi,17
kaspro,115
suka,108
muncul,46
pokoke,3
knp,14
nyantol,5
dibatalin,12
selamat,32
sosialisasi,4
scam,27
asu,2
luar,16
biasa,22
ssbenarnya,1
arti,5
promo,27
apaa,1
sihsy,1
mslh,3
dgn,32
