Token,Frequency
maps,135
nyah,3
buat,258
lebih,224
detail,13
buruk,115
aplikasi,878
erorr,6
mulu,29
drivernya,325
ramah,657
baik,1144
bagus,473
perlu,24
map,111
almt,1
google,22
tdk,81
pantau,5
jln,11
batua,2
raya,7
driver,1286
temu,23
sasar,2
sesuai,150
arah,23
konsumen,34
sangat,693
bantu,134
sekali,207
alhamdulillah,18
bapak,47
amanah,27
sehat,33
njeh,1
pak,69
moga,46
rezeki,14
makin,81
lancar,27
sukses,27
selalu,142
maxim,1005
aplikasiatau,1
drivernyayg,1
main,21
ordersesuai,1
aplikasitp,1
stlah,1
nyampe,11
selesaidan,1
ubah,60
alamat,132
jemput,141
lokasi,128
tuju,173
dua,9
sama,329
isi,110
yg,610
satu,48
lokasikacaujd,1
g,36
melacakperjalanorang,1
bawadriver,1
takut,11
apa,167
pihat,2
maximbenahi,1
apliksinyaatau,1
jdi,32
coba,77
enak,64
bawa,87
nya,1103
orang,168
nunggu,99
lama,279
konfirmasi,22
aja,310
terus,134
kali,184
gagal,16
gak,586
ngotak,6
customer,69
pagi,22
siang,7
sore,8
malam,20
udah,253
harga,241
murah,168
lo,18
murahin,1
rumah,40
gedong,2
elit,3
koret,1
gaya,5
ekonomi,4
sulit,42
brengsek,2
mau,557
naik,116
odong,2
jooss,2
mantap,330
dukung,3
ibu,21
kerupuk,8
palak,4
arogan,6
sih,88
saran,16
beri,46
fitur,59
rating,45
dong,101
kadang,52
sop,5
pakai,176
jaket,9
punya,46
uang,104
kembali,36
pernah,67
habis,24
bensin,13
tengah,21
jalan,200
jadi,291
telat,29
berangkat,13
kerja,80
gara,42
salah,87
baca,24
tulis,25
nyata,45
jauh,99
titik,188
maksud,8
biar,61
bayar,228
tunggu,92
nomor,112
aktifasi,1
error,57
castmar,1
otak,9
pasang,5
lw,1
oder,2
pijit,2
benar,44
kunci,2
cs,42
cansel,4
terima,226
kasih,289
top,100
hadir,3
memang,26
resah,5
krn,24
waktu,113
ogah,1
ambil,83
order,488
riwayat,9
jasa,18
transportasi,28
kasar,37
edukasi,5
utama,21
daerah,22
makassar,2
status,6
sedang,14
cari,172
sy,55
cancel,151
buru,34
lalu,36
tiba,127
banget,293
dapet,81
dah,48
jelas,177
loading,11
ngatangatain,1
lewat,51
chat,58
bahasa,5
kotor,7
bukan,66
cuman,39
waspada,1
banyak,264
oknumpenipuan,1
tipu,85
teror,2
aku,79
pihak,65
kode,192
otp,78
padahal,248
makasih,50
good,174
akun,89
tiap,29
trus,38
minta,254
masukmksdnya,1
nih,49
ribet,41
skali,5
on,5
time,6
sopan,122
dasar,11
tolol,55
ditungguin,2
gada,22
nerima,24
nolak,11
semua,64
gw,43
beli,29
perushaan,1
lu,18
pegang,3
lah,111
janji,6
dendam,3
usaha,23
tahun,11
bangkrut,4
saling,6
tolong,5
update,54
food,46
paket,17
instan,1
reguler,1
samday,1
kaya,43
tingkatin,4
jangan,89
ikut,12
contoh,12
grab,47
gojek,56
shopy,1
lalamove,1
cuma,76
bike,11
mohon,91
dengerlah,1
kau,17
kekmana,1
butuh,33
pas,162
hujan,38
kalau,134
tutup,26
apk,225
mending,66
pulak,2
mmatap,1
layan,320
oke,64
maaf,63
min,34
bintang,88
dulu,68
kalo,171
udh,116
ratingnya,2
karna,71
kok,73
ga,549
namain,2
masukin,24
nama,55
lengkap,35
tanggal,15
lahir,12
mencet,1
gabisa,57
gimana,65
kasi,40
respon,59
minnn,1
cara,35
atas,69
titij,1
app,20
jelek,116
muat,1
ulang,43
akhir,38
uninstal,12
trs,32
install,7
malah,301
masuk,252
verifikasi,60
sms,38
jadul,2
servernya,2
hrsnya,2
wa,21
via,16
tlp,16
mati,19
tlpnya,1
angkat,7
nieh,1
solusi,16
pusat,8
menu,19
ttp,23
hrs,7
login,163
