hidden_dim,dropout,n_layers,learning_rate,batch_size,epoch,train_loss,train_acc,train_f1,valid_loss,valid_acc,valid_f1,time_mins,time_secs
64,0.3,2,0.001,32,1,0.376,83.075,0.719,0.251,88.911,0.837,0,19
64,0.3,2,0.001,32,2,0.161,93.925,0.905,0.304,87.46,0.835,0,16
64,0.3,2,0.001,32,3,0.089,96.903,0.951,0.271,89.536,0.841,0,16
64,0.3,2,0.001,32,4,0.049,98.328,0.973,0.346,88.619,0.817,0,15
64,0.3,2,0.001,32,5,0.03,99.083,0.986,0.394,88.427,0.813,0,17
64,0.3,2,0.001,32,6,0.022,99.255,0.988,0.462,89.446,0.834,0,18
64,0.3,2,0.001,32,7,0.016,99.4,0.99,0.437,89.254,0.839,0,17
64,0.3,2,0.001,32,8,0.015,99.564,0.993,0.578,88.952,0.835,0,16
64,0.3,2,0.001,32,9,0.019,99.419,0.991,0.508,89.153,0.829,0,19
64,0.3,2,0.001,32,10,0.008,99.746,0.996,0.544,89.304,0.838,0,16
64,0.3,2,0.001,64,1,0.469,74.52,0.622,0.276,87.255,0.821,0,14
64,0.3,2,0.001,64,2,0.192,92.854,0.888,0.238,89.903,0.857,0,13
64,0.3,2,0.001,64,3,0.1,96.756,0.949,0.271,90.107,0.847,0,13
64,0.3,2,0.001,64,4,0.059,98.034,0.969,0.299,89.377,0.834,0,13
64,0.3,2,0.001,64,5,0.034,99.019,0.984,0.351,89.303,0.836,0,15
64,0.3,2,0.001,64,6,0.026,99.248,0.988,0.408,89.151,0.834,0,14
64,0.3,2,0.001,64,7,0.02,99.273,0.988,0.442,88.417,0.821,0,13
64,0.3,2,0.001,64,8,0.015,99.6,0.994,0.413,89.324,0.838,0,13
64,0.3,2,0.001,64,9,0.008,99.746,0.996,0.561,89.778,0.846,0,13
64,0.3,2,0.001,64,10,0.018,99.491,0.992,0.495,89.682,0.843,0,13
64,0.3,2,0.0001,32,1,0.686,52.961,0.309,0.658,67.591,0.0,0,16
64,0.3,2,0.0001,32,2,0.511,76.214,0.484,0.377,84.597,0.776,0,17
64,0.3,2,0.0001,32,3,0.306,87.979,0.818,0.308,87.47,0.826,0,16
64,0.3,2,0.0001,32,4,0.237,91.373,0.869,0.277,89.103,0.836,0,15
64,0.3,2,0.0001,32,5,0.18,93.624,0.901,0.266,89.708,0.846,0,15
64,0.3,2,0.0001,32,6,0.143,95.55,0.93,0.261,90.272,0.854,0,16
64,0.3,2,0.0001,32,7,0.114,96.513,0.945,0.263,90.776,0.861,0,19
64,0.3,2,0.0001,32,8,0.094,97.321,0.958,0.263,91.331,0.868,0,16
64,0.3,2,0.0001,32,9,0.075,97.866,0.966,0.286,90.444,0.856,0,15
64,0.3,2,0.0001,32,10,0.066,98.256,0.972,0.291,90.454,0.855,0,15
64,0.3,2,0.0001,64,1,0.676,68.522,0.0,0.67,67.512,0.0,0,13
64,0.3,2,0.0001,64,2,0.655,68.522,0.0,0.637,67.512,0.0,0,12
64,0.3,2,0.0001,64,3,0.557,73.991,0.374,0.46,79.342,0.653,0,15
64,0.3,2,0.0001,64,4,0.37,85.067,0.763,0.362,84.385,0.767,0,13
64,0.3,2,0.0001,64,5,0.285,89.146,0.833,0.321,86.502,0.801,0,13
64,0.3,2,0.0001,64,6,0.229,92.064,0.877,0.294,87.538,0.813,0,13
64,0.3,2,0.0001,64,7,0.188,93.685,0.901,0.282,88.724,0.825,0,17
64,0.3,2,0.0001,64,8,0.155,95.155,0.924,0.275,89.101,0.832,0,21
64,0.3,2,0.0001,64,9,0.128,96.237,0.941,0.272,89.809,0.846,0,14
64,0.3,2,0.0001,64,10,0.11,96.962,0.952,0.277,90.92,0.861,0,13
64,0.5,2,0.001,32,1,0.395,80.992,0.702,0.256,89.194,0.838,0,17
64,0.5,2,0.001,32,2,0.182,92.7,0.886,0.322,87.712,0.839,0,16
64,0.5,2,0.001,32,3,0.112,95.99,0.938,0.258,89.163,0.837,0,16
64,0.5,2,0.001,32,4,0.07,97.638,0.963,0.301,89.385,0.836,0,17
64,0.5,2,0.001,32,5,0.043,98.51,0.976,0.353,89.335,0.835,0,15
64,0.5,2,0.001,32,6,0.032,99.055,0.985,0.419,89.083,0.834,0,16
64,0.5,2,0.001,32,7,0.023,99.21,0.988,0.567,88.71,0.835,0,16
64,0.5,2,0.001,32,8,0.03,99.111,0.986,0.43,90.121,0.848,0,16
64,0.5,2,0.001,32,9,0.016,99.584,0.994,0.39,89.103,0.831,0,16
64,0.5,2,0.001,32,10,0.02,99.346,0.99,0.538,88.528,0.841,0,15
64,0.5,2,0.001,64,1,0.489,77.199,0.613,0.286,87.104,0.82,0,15
64,0.5,2,0.001,64,2,0.219,90.899,0.86,0.241,89.903,0.858,0,13
64,0.5,2,0.001,64,3,0.128,95.459,0.928,0.244,90.711,0.868,0,13
64,0.5,2,0.001,64,4,0.079,97.479,0.96,0.266,90.438,0.858,0,13
64,0.5,2,0.001,64,5,0.049,98.285,0.973,0.329,88.875,0.822,0,12
64,0.5,2,0.001,64,6,0.035,98.892,0.982,0.371,88.974,0.826,0,12
64,0.5,2,0.001,64,7,0.024,99.31,0.989,0.401,89.226,0.835,0,12
64,0.5,2,0.001,64,8,0.019,99.4,0.99,0.382,89.732,0.845,0,13
64,0.5,2,0.001,64,9,0.016,99.43,0.991,0.388,89.401,0.84,0,14
64,0.5,2,0.001,64,10,0.02,99.248,0.988,0.623,88.698,0.838,0,12
