hidden_dim,dropout,n_layers,learning_rate,batch_size,epoch,train_loss,train_acc,train_f1,valid_loss,valid_acc,valid_f1,time_mins,time_secs
64,0.5,2,0.0001,32,2,0.558,73.102,0.342,0.4,82.353,0.715,0,17
64,0.5,2,0.0001,32,3,0.332,86.411,0.796,0.32,86.449,0.792,0,17
64,0.5,2,0.0001,32,4,0.256,89.948,0.85,0.292,86.978,0.802,0,17
64,0.5,2,0.0001,32,5,0.205,92.714,0.889,0.283,88.574,0.828,0,17
64,0.5,2,0.0001,32,6,0.169,94.004,0.907,0.264,89.699,0.843,0,18
64,0.5,2,0.0001,32,7,0.141,95.289,0.926,0.258,91.279,0.859,0,17
64,0.5,2,0.0001,32,8,0.119,96.193,0.94,0.257,91.904,0.869,0,18
64,0.5,2,0.0001,32,9,0.106,96.399,0.944,0.252,91.919,0.869,0,20
64,0.5,2,0.0001,32,10,0.092,97.256,0.957,0.26,91.654,0.867,0,19
64,0.5,2,0.0001,64,1,0.694,46.291,0.223,0.682,68.128,0,0,13
64,0.5,2,0.0001,64,2,0.669,67.761,0.013,0.643,68.128,0,0,14
64,0.5,2,0.0001,64,3,0.564,73.253,0.368,0.449,80.55,0.667,0,14
64,0.5,2,0.0001,64,4,0.366,85.911,0.782,0.361,83.824,0.771,0,13
64,0.5,2,0.0001,64,5,0.292,89.162,0.837,0.338,86.079,0.785,0,13
64,0.5,2,0.0001,64,6,0.243,91.288,0.866,0.319,85.987,0.8,0,14
64,0.5,2,0.0001,64,7,0.204,92.961,0.891,0.302,87.189,0.816,0,13
64,0.5,2,0.0001,64,8,0.178,93.987,0.907,0.299,87.189,0.805,0,13
64,0.5,2,0.0001,64,9,0.157,94.918,0.92,0.289,88.122,0.83,0,13
64,0.5,2,0.0001,64,10,0.136,95.644,0.932,0.285,88.002,0.813,0,13
128,0.3,2,0.001,32,1,0.361,83.74,0.746,0.247,88.699,0.816,0,29
128,0.3,2,0.001,32,2,0.159,93.84,0.905,0.248,88.853,0.825,0,29
128,0.3,2,0.001,32,3,0.082,97.367,0.959,0.26,90.154,0.837,0,29
128,0.3,2,0.001,32,4,0.048,98.398,0.975,0.342,89.419,0.836,0,30
128,0.3,2,0.001,32,5,0.032,98.953,0.984,0.331,89.434,0.834,0,29
128,0.3,2,0.001,32,6,0.035,98.715,0.98,0.476,88.228,0.799,0,30
128,0.3,2,0.001,32,7,0.03,99.112,0.986,0.364,88.838,0.814,0,29
128,0.3,2,0.001,32,8,0.011,99.619,0.994,0.5,89.154,0.824,0,31
128,0.3,2,0.001,32,9,0.008,99.762,0.996,0.607,88.324,0.816,0,29
128,0.3,2,0.001,32,10,0.007,99.746,0.996,0.644,88.794,0.826,0,29
128,0.3,2,0.001,64,1,0.45,77.21,0.62,0.286,88.094,0.82,0,26
128,0.3,2,0.001,64,2,0.217,91.298,0.868,0.264,89.989,0.843,0,25
128,0.3,2,0.001,64,3,0.111,95.944,0.936,0.288,87.67,0.812,0,26
128,0.3,2,0.001,64,4,0.063,98.027,0.969,0.297,89.055,0.832,0,24
128,0.3,2,0.001,64,5,0.041,98.548,0.977,0.361,88.483,0.828,0,25
128,0.3,2,0.001,64,6,0.027,99.1,0.986,0.353,89.508,0.836,0,25
128,0.3,2,0.001,64,7,0.024,99.164,0.987,0.375,88.907,0.825,0,25
128,0.3,2,0.001,64,8,0.012,99.574,0.993,0.518,88.575,0.834,0,25
128,0.3,2,0.001,64,9,0.012,99.605,0.994,0.757,87.132,0.819,0,24
128,0.3,2,0.001,64,10,0.092,97.443,0.959,0.429,87.938,0.829,0,25
128,0.3,2,0.0001,32,1,0.639,66.053,0.162,0.475,76.963,0.598,0,29
128,0.3,2,0.0001,32,2,0.361,83.978,0.757,0.328,85.574,0.77,0,30
128,0.3,2,0.0001,32,3,0.254,90.049,0.849,0.284,87.463,0.802,0,29
128,0.3,2,0.0001,32,4,0.186,93.332,0.898,0.272,88.853,0.834,0,29
128,0.3,2,0.0001,32,5,0.135,95.638,0.932,0.26,90.199,0.843,0,29
128,0.3,2,0.0001,32,6,0.111,96.478,0.945,0.246,90.949,0.857,0,31
128,0.3,2,0.0001,32,7,0.087,97.351,0.958,0.236,91.809,0.873,0,29
128,0.3,2,0.0001,32,8,0.077,97.541,0.961,0.245,91.794,0.87,0,30
128,0.3,2,0.0001,32,9,0.057,98.192,0.971,0.271,91.559,0.868,0,29
128,0.3,2,0.0001,32,10,0.049,98.588,0.978,0.312,91.904,0.873,0,30
128,0.3,2,0.0001,64,1,0.684,55.229,0.057,0.659,68.128,0,0,25
128,0.3,2,0.0001,64,2,0.567,73.616,0.417,0.448,78.747,0.676,0,25
128,0.3,2,0.0001,64,3,0.354,85.138,0.776,0.359,83.795,0.756,0,25
128,0.3,2,0.0001,64,4,0.272,89.431,0.84,0.317,85.987,0.802,0,25
128,0.3,2,0.0001,64,5,0.212,92.219,0.879,0.316,86.107,0.783,0,25
128,0.3,2,0.0001,64,6,0.167,94.192,0.91,0.298,87.429,0.806,0,25
128,0.3,2,0.0001,64,7,0.134,95.581,0.931,0.266,89.536,0.843,0,25
128,0.3,2,0.0001,64,8,0.112,96.654,0.947,0.254,91.07,0.863,0,24
128,0.3,2,0.0001,64,9,0.092,97.396,0.959,0.256,91.403,0.865,0,25
128,0.3,2,0.0001,64,10,0.082,97.538,0.961,0.254,90.618,0.855,0,24
128,0.5,2,0.001,32,1,0.364,83.117,0.723,0.247,89.338,0.835,0,35
128,0.5,2,0.001,32,2,0.167,93.475,0.9,0.248,90.074,0.847,0,27
128,0.5,2,0.001,32,3,0.095,96.859,0.951,0.263,89.449,0.834,0,28
128,0.5,2,0.001,32,4,0.065,97.732,0.964,0.334,88.963,0.812,0,27
128,0.5,2,0.001,32,5,0.051,98.255,0.973,0.31,89.559,0.839,0,28
128,0.5,2,0.001,32,6,0.028,99.159,0.987,0.369,89.309,0.819,0,27
128,0.5,2,0.001,32,7,0.021,99.365,0.99,0.401,89.088,0.826,0,28
128,0.5,2,0.001,32,8,0.017,99.445,0.991,0.36,90.309,0.851,0,27
128,0.5,2,0.001,32,9,0.014,99.429,0.991,0.529,89.434,0.832,0,29
128,0.5,2,0.001,32,10,0.016,99.492,0.992,0.525,88.684,0.827,0,29
128,0.5,2,0.001,64,1,0.45,79.346,0.633,0.288,86.8,0.808,0,23
128,0.5,2,0.001,64,2,0.205,91.719,0.874,0.274,88.511,0.822,0,23
128,0.5,2,0.001,64,3,0.121,95.549,0.93,0.266,89.444,0.842,0,24
128,0.5,2,0.001,64,4,0.075,97.333,0.958,0.279,91.283,0.859,0,22
128,0.5,2,0.001,64,5,0.056,98.106,0.97,0.274,88.695,0.83,0,23
128,0.5,2,0.001,64,6,0.035,98.911,0.983,0.369,89.055,0.839,0,22
128,0.5,2,0.001,64,7,0.027,99.179,0.987,0.377,89.027,0.832,0,23
128,0.5,2,0.001,64,8,0.017,99.448,0.991,0.479,89.748,0.839,0,23
128,0.5,2,0.001,64,9,0.021,99.227,0.988,0.449,88.546,0.819,0,23
128,0.5,2,0.001,64,10,0.018,99.353,0.99,0.427,88.363,0.82,0,27
128,0.5,2,0.0001,32,1,0.661,65.482,0.094,0.562,75.993,0.448,0,28
128,0.5,2,0.0001,32,2,0.406,81.345,0.708,0.346,83.934,0.743,0,28
128,0.5,2,0.0001,32,3,0.286,87.854,0.818,0.3,87.324,0.806,0,28
128,0.5,2,0.0001,32,4,0.224,91.561,0.871,0.288,88.088,0.821,0,28
128,0.5,2,0.0001,32,5,0.175,93.909,0.906,0.267,89.824,0.843,0,28
128,0.5,2,0.0001,32,6,0.15,94.686,0.917,0.254,89.684,0.836,0,28
128,0.5,2,0.0001,32,7,0.124,95.828,0.935,0.254,91.059,0.858,0,27
128,0.5,2,0.0001,32,8,0.11,96.399,0.944,0.245,90.919,0.856,0,29
128,0.5,2,0.0001,32,9,0.09,97.176,0.956,0.253,91.294,0.861,0,27
128,0.5,2,0.0001,32,10,0.077,97.383,0.959,0.257,91.279,0.862,0,32
128,0.5,2,0.0001,64,1,0.681,65.804,0.023,0.663,68.128,0,0,23
128,0.5,2,0.0001,64,2,0.616,70.234,0.174,0.504,77.185,0.569,0,23
128,0.5,2,0.0001,64,3,0.399,82.144,0.723,0.37,83.527,0.735,0,25
128,0.5,2,0.0001,64,4,0.307,87.205,0.806,0.325,85.959,0.796,0,24
128,0.5,2,0.0001,64,5,0.25,90.394,0.854,0.321,85.358,0.759,0,23
128,0.5,2,0.0001,64,6,0.21,92.456,0.883,0.286,88.575,0.826,0,23
128,0.5,2,0.0001,64,7,0.172,93.813,0.903,0.28,88.815,0.837,0,22
128,0.5,2,0.0001,64,8,0.145,95.186,0.924,0.261,88.122,0.816,0,23
128,0.5,2,0.0001,64,9,0.133,95.865,0.935,0.247,90.59,0.853,0,22
128,0.5,2,0.0001,64,10,0.114,96.291,0.941,0.25,89.352,0.843,0,23
