Token,Frequency
d,105
blokir,34
skem,3
tolol,55
makasih,60
bang,15
ganteng,8
abg,7
asik,17
sih,93
mesen,33
anter,8
aje,1
cok,4
eskrim,1
momoyo,1
bangettt,4
gbs,3
maf,2
uinstal,1
lgpercuma,1
kmren,3
mlm,2
nomer,36
kodeymslahy,1
jls,6
moga,47
tetap,57
jangkau,30
ramahsabarsmoga,1
rejekinya,7
lancar,20
bukti,10
tbtb,8
rugi,104
cukup,29
responsif,5
gue,29
ketik,9
mo,5
botak,1
ujung,19
musti,2
dah,72
tekan,5
lo,20
plis,8
stress,2
telat,29
grgr,3
lokasi,152
nyebeli,1
allah,5
suer,1
eror,70
soal,41
keluar,50
akun,103
gt,5
kamis,3
hey,2
stop,2
live,1
how,1
batamnews,1
are,1
looking,1
for,1
something,1
that,1
not,5
sad,1
ending,2
bad,25
no,73
untuk,2
ikut,14
jaga,7
tatakramanya,1
saudara,3
perempuan,4
trauma,15
takut,18
akibat,7
tanyatanya,1
punya,63
pacar,6
tinggal,42
dmn,1
wa,25
lahdll,1
ojek,58
pokus,1
ngomong,4
wajar,8
ajarin,1
pihak,78
aplikatornyamaps,1
susahga,1
kluar,3
modal,3
krja,1
mapsmau,1
doang,37
abai,3
jamin,3
keselamatanbuat,1
baikpake,1
lahjelas,1
respon,66
adu,13
jga,11
cepet,11
sngt,4
luar,23
biasa,34
herecep,1
poko,14
hehe,2
muas,27
ramahtrim,1
kk,17
payah,43
masak,12
bahkan,39
bulan,7
biaya,56
minggu,14
gimana,79
mana,90
pemberitahuan,8
kalau,156
kooperatif,2
iya,20
transparansi,1
niat,32
pilihin,1
asal,17
comot,1
okay,3
bung,1
bosque,1
mobile,4
ehhhh,1
koq,2
tunggu,100
emis,1
tau,102
orangy,1
sabar,29
baikcuma,1
mesan,43
mesum,5
njir,2
kayak,46
males,26
plat,30
disalahin,2
manggil,2
lucu,6
sepeda,8
motor,101
nmax,2
goof,1
sini,26
gabut,1
alhasil,15
knalpot,1
brong,1
stiker,5
modif,1
otak,12
skrng,7
music,1
best,30
hemat,14
fiktif,28
tp,126
tindak,39
lanjut,23
payahh,2
susahh,1
percaya,14
cukap,1
cekat,6
wuuzzz,1
nyamle,1
senang,20
amanah,30
ngatur,2
perak,8
ritel,1
tanggung,19
lebihin,7
mulu,40
nolak,19
jauh,117
dr,38
asli,18
auto,15
rute,34
nambah,19
macet,11
enakngasih,1
saran,18
sruh,1
om,13
gacor,7
sehat,41
lengkap,38
playanan,4
tepat,66
waktu,125
koh,1
lgiaph,1
lh,5
bgtuh,1
admin,33
bs,23
hubung,33
penuh,30
mohamad,2
alvan,1
setiawan,1
sh,1
hyundai,1
atos,2
warna,38
biru,8
agck,1
rizky,1
muhammad,4
rahman,1
motorcycle,26
hitam,13
ktkr,1
angkut,4
dicancel,12
upgrade,8
metode,6
nalangin,2
jaring,24
buka,74
pa,8
asnur,1
karim,1
dtdr,1
dong,105
voucher,10
kasi,41
bilang,65
gmn,12
lumayan,25
nyamansopirnya,1
sahabat,10
gara,39
alhamdulillah,25
ketemu,24
semangat,25
meski,11
tawar,8
ngisi,24
rb,122
anjir,8
ilang,8
nyata,48
pencet,9
uninstall,23
tas,3
obat,3
dokter,1
dibegasi,1
tamah,9
transportasi,28
umum,8
yh,2
layak,13
selektif,6
laksana,16
percuma,20
gabisa,63
kepake,5
sop,5
bahaya,20
gblok,1
bru,3
dwonload,2
limit,3
setan,3
kapan,11
lipat,22
ni,36
mampu,1
tutup,28
bagi,18
atribut,10
beli,38
aplikator,9
tempel,1
iklan,5
percis,1
fasat,1
rumah,45
pcs,1
selesai,18
cat,2
rusak,20
gr,1
tanggap,19
td,2
pagi,30
tabrak,6
lindas,1
kaki,8
ku,23
kaca,3
spion,2
pecah,3
kap,2
lampu,3
kabur,15
menyamaratakan,1
mood,4
tq,3
kalem,1
benci,3
tambah,85
uang,104
walaupun,15
mampir,3
sebentar,3
toko,17
kembali,43
kau,10
dasar,11
saing,17
kesana,4
kesini,14
seru,1
ngaturnya,1
gocar,4
kasihan,24
terlalu,70
dpat,5
trimakasih,25
denga,2
canggih,1
developer,16
paksa,17
cust,4
sepakat,3
parahhh,3
dg,20
kristiando,1
tumanggor,1
bmrx,1
car,55
manfaat,17
roy,1
delmax,1
vin,1
h,3
talas,1
dtwf,1
kpd,4
yth,1
indonesiasy,1
mhn,2
ikan,5
maximojek,1
ijo,18
erorr,4
begini,23
pagawainya,1
malas,18
kilat,1
berkah,14
amiinn,1
ngantar,3
tengah,33
alas,62
krna,26
licin,1
nh,2
tanah,2
trs,33
ngira,1
cerita,8
pramuka,2
bnyk,20
kn,5
y,14
pulang,15
responnya,5
situ,6
malam,25
mknya,1
ibu,30
turunin,8
gaje,2
matur,1
ssnget,1
mbkdriver,1
development,2
cerdas,1
dikit,21
mutermuter,5
nyangkut,14
tiap,39
penumpangnyasangat,1
ade,1
chandra,1
putra,2
ddxy,1
e,22
banyakhabis,1
sekarang,72
habishaduh,1
pusing,11
gila,19
panik,3
tip,13
rbtaunya,1
drivernyesel,1
tpo,1
kasprouangya,1
padahaltolong,1
guangapa,1
idiot,1
maxime,6
sinting,1
mam,1
full,9
jujur,38
say,2
aingin,1
reting,3
bapk,1
ramahbaik,3
senggol,11
kerupuk,12
rekomended,1
capek,8
penting,11
kargodiskusi,1
deal,3
angkuttak,1
dulu,73
belakang,6
beberapa,41
sandi,1
loh,10
harus,20
pulaa,1
this,3
very,7
jadul,4
gin,48
lewat,61
chat,64
akurat,37
yahh,2
orderanx,1
hrus,2
jam,130
msih,4
klau,6
ongkirnya,9
makanya,6
naikin,13
pick,8
datang,52
mantau,1
pramudi,1
pantas,3
minat,2
alami,9
kendala,10
debat,3
timbul,1
ketidaknyamanan,1
tera,15
nggk,8
nganter,11
nyuruh,5
yuris,1
gunawan,1
ab,1
sj,3
dibenerin,5
ruwet,1
lain,18
baca,25
lamaaa,3
dibatalin,15
restonya,1
dateng,17
kenyang,1
ngotak,6
ketus,3
peyanan,2
